Column1,EntrezID,Cutoff,Cutoff2
1583,6228,0.5,1
1588,51065,0.5,1
1623,219285,0.5,1
1641,6386,0.5,1
1661,1992,0.5,1
1680,8879,0.5,1
1692,8935,0.5,1
1717,6611,0.5,1
1736,8724,0.5,1
1758,8878,0.5,1
1759,6714,0.5,1
1766,6726,0.5,1
1785,6772,0.5,1
1813,25870,0.5,1
1816,11198,0.5,1
1856,51300,0.5,1
1862,51372,0.5,1
1888,10043,0.5,1
1892,7150,0.5,1
1947,1890,0.5,1
1969,23352,0.5,1
1971,23190,0.5,1
1973,51377,0.5,1
1984,7378,0.5,1
1998,8239,0.5,1
2004,8673,0.5,1
2032,7448,0.5,1
2061,56829,0.5,1
2062,677,0.5,1
2067,7791,0.5,1
1000,4067,0,0.5
1237,2923,0,0.5
1494,5962,0,0.5
1823,10492,0,0.5
1900,7170,0,0.5
2039,57705,0,0.5
6,16,0,0.5
7,6059,0,0.5
8,23,0,0.5
9,55347,0,0.5
10,26090,0,0.5
11,84836,0,0.5
12,10006,0,0.5
13,29,0,0.5
14,58527,0,0.5
15,30,0,0.5
16,10449,0,0.5
17,28976,0,0.5
18,34,0,0.5
19,37,0,0.5
20,23527,0,0.5
21,38,0,0.5
22,39,0,0.5
23,1636,0,0.5
24,22985,0,0.5
25,47,0,0.5
26,48,0,0.5
27,50,0,0.5
28,55856,0,0.5
29,11332,0,0.5
30,23597,0,0.5
31,51,0,0.5
32,52,0,0.5
34,80221,0,0.5
36,2181,0,0.5
38,59,0,0.5
39,60,0,0.5
41,86,0,0.5
42,87,0,0.5
43,81,0,0.5
44,10121,0,0.5
45,10120,0,0.5
46,10097,0,0.5
47,10096,0,0.5
50,103,0,0.5
51,128,0,0.5
52,132,0,0.5
53,84890,0,0.5
54,83440,0,0.5
55,141,0,0.5
56,54936,0,0.5
58,11047,0,0.5
59,158,0,0.5
60,159,0,0.5
61,10939,0,0.5
62,175,0,0.5
63,3267,0,0.5
64,27161,0,0.5
66,8540,0,0.5
67,191,0,0.5
69,79026,0,0.5
70,10598,0,0.5
71,199,0,0.5
72,9131,0,0.5
74,9255,0,0.5
75,7965,0,0.5
76,9049,0,0.5
77,204,0,0.5
78,50808,0,0.5
79,11214,0,0.5
80,10327,0,0.5
81,231,0,0.5
82,8574,0,0.5
83,207,0,0.5
84,210,0,0.5
85,214,0,0.5
86,126133,0,0.5
87,216,0,0.5
88,8854,0,0.5
89,217,0,0.5
90,224,0,0.5
91,8659,0,0.5
92,223,0,0.5
93,226,0,0.5
94,230,0,0.5
95,56052,0,0.5
96,246,0,0.5
97,10189,0,0.5
98,271,0,0.5
99,91526,0,0.5
100,196527,0,0.5
101,8125,0,0.5
102,10541,0,0.5
103,81611,0,0.5
104,290,0,0.5
105,301,0,0.5
106,311,0,0.5
107,302,0,0.5
108,307,0,0.5
110,309,0,0.5
112,162,0,0.5
113,164,0,0.5
114,8907,0,0.5
115,160,0,0.5
116,161,0,0.5
117,163,0,0.5
118,1173,0,0.5
119,1175,0,0.5
120,8546,0,0.5
121,8943,0,0.5
122,26985,0,0.5
123,1176,0,0.5
124,54518,0,0.5
125,327,0,0.5
126,328,0,0.5
127,8539,0,0.5
128,57136,0,0.5
129,55911,0,0.5
131,26060,0,0.5
132,353,0,0.5
133,372,0,0.5
134,377,0,0.5
135,382,0,0.5
136,84364,0,0.5
137,26286,0,0.5
138,10565,0,0.5
139,27236,0,0.5
140,392,0,0.5
141,79658,0,0.5
142,55114,0,0.5
143,93663,0,0.5
144,9938,0,0.5
145,257106,0,0.5
146,393,0,0.5
147,64333,0,0.5
148,396,0,0.5
149,397,0,0.5
150,9138,0,0.5
151,9181,0,0.5
152,9459,0,0.5
153,8874,0,0.5
154,8289,0,0.5
155,403,0,0.5
157,55207,0,0.5
158,10095,0,0.5
159,10109,0,0.5
160,10094,0,0.5
161,10093,0,0.5
162,10092,0,0.5
163,81873,0,0.5
164,348110,0,0.5
165,408,0,0.5
166,409,0,0.5
167,410,0,0.5
168,411,0,0.5
169,427,0,0.5
170,50807,0,0.5
171,439,0,0.5
172,64422,0,0.5
173,10533,0,0.5
174,471,0,0.5
175,25923,0,0.5
176,475,0,0.5
177,57130,0,0.5
178,79572,0,0.5
179,476,0,0.5
180,481,0,0.5
181,483,0,0.5
184,490,0,0.5
186,498,0,0.5
187,506,0,0.5
188,509,0,0.5
189,513,0,0.5
190,514,0,0.5
191,515,0,0.5
192,10476,0,0.5
193,521,0,0.5
194,522,0,0.5
195,100526740,0,0.5
196,10632,0,0.5
197,539,0,0.5
199,9114,0,0.5
200,523,0,0.5
201,526,0,0.5
202,528,0,0.5
203,51382,0,0.5
204,529,0,0.5
205,9296,0,0.5
206,9550,0,0.5
207,51606,0,0.5
208,25814,0,0.5
209,11273,0,0.5
210,549,0,0.5
211,567,0,0.5
212,29086,0,0.5
213,8815,0,0.5
215,55973,0,0.5
216,10134,0,0.5
217,594,0,0.5
218,10295,0,0.5
219,23786,0,0.5
220,599,0,0.5
221,9774,0,0.5
222,622,0,0.5
223,23299,0,0.5
224,637,0,0.5
