Column1,EntrezID,Cutoff
260,813,0
261,8536,0
262,817,0.5
263,55832,0
264,821,0
265,10487,0
266,822,0
267,823,0
268,824,0
269,826,0
270,4076,0
271,65981,0.5
272,829,0
273,830,0
274,832,0
275,64170,0
276,23589,0
277,833,0
278,834,0
279,836,0
280,840,0
281,831,0
282,847,0
283,867,0.5
284,873,0
285,10951,0
286,11335,0
287,23468,0
288,57805,0
290,28952,0
291,57003,0
292,8030,0
293,6364,1
294,6348,0.5
295,388372,1
296,6352,1
297,10576,0
298,7203,0
299,10575,0
300,22948,0
301,908,0
302,10574,0
303,10694,0
304,909,0.5
305,910,0
306,911,0.5
307,30835,0.5
308,29126,1
309,80381,0
310,948,1
311,958,1
312,960,0.5
313,961,0
314,962,0.5
315,963,0
316,966,0
317,967,0.5
318,972,1
319,975,0.5
320,928,0.5
321,978,0
322,11140,0
323,998,0
324,988,0
325,984,0
326,80279,0
327,8760,0
328,55573,0
330,10659,0
331,1063,0
332,2491,0
333,9859,0
334,1066,0
335,1072,0
336,51142,1
337,54927,0
338,1108,0
339,10523,0
340,66005,0
341,5119,0
342,57132,0
343,27243,0
344,128866,0
345,51510,0
346,26973,0
347,11261,0
348,9391,0
349,1153,0
350,493856,0
351,10970,0
352,9793,0
353,1152,0.5
354,23122,0
355,1192,0
356,1193,0
357,25932,0
358,9685,0
359,6249,0
360,1211,0.5
361,1212,0
362,1213,0
363,55907,0
364,152100,0
365,51727,0
366,123920,0.5
367,7555,0.5
368,55748,0
369,1265,0
370,23019,0
371,1267,0
372,388753,0
373,80347,0
374,9382,0
375,22796,0.5
376,79709,0
377,51397,0
378,100532731,0
379,170622,0
380,29099,0
381,1312,0
382,1314,0
383,1315,0
384,9276,0
385,11316,0
386,22820,0
387,26958,0
388,9318,0
389,8533,0
390,51138,0
391,10987,0
392,10980,0
393,22818,0
394,57017,0
395,11151,0
396,57175,0
397,23603,0
398,79585,0
399,23406,0
400,10063,0
401,1327,0
402,9377,0
403,1329,0
404,285849,0
405,1340,0
406,1345,0
407,1347,0
408,1350,0
409,8895,0.5
410,55313,0
411,11052,0
412,1376,0
413,54504,0
414,1382,1
415,1396,0
416,51084,0
417,1429,0.5
418,1431,0
419,7812,0
420,1434,0
421,1445,0
422,1460,0
423,1465,0
424,1471,1
425,1476,0.5
426,1487,0
428,1495,0
429,1500,0
430,5476,0
431,1508,0.5
432,1075,0
433,1511,0
434,1512,0.5
435,1514,0
436,1520,0
437,1522,0.5
438,8454,0
439,8453,0
440,8065,0
441,80777,0
442,51706,0
443,1727,0
444,1536,0
445,1537,0
446,54205,0
447,23191,0
448,9266,0
449,1601,0.5
451,1611,0
452,1615,0
453,26528,0
454,1622,0
455,28988,0
456,1633,0
457,1639,0
458,10540,0
459,84516,0
460,51181,0
461,23564,0
462,1642,0
463,1650,0
464,1652,0
465,1653,0
466,10521,0
467,8886,0
468,9188,0.5
469,9416,0
470,10212,0
471,7919,0
472,1654,0
473,11325,0
474,9879,0
475,1655,0
476,79039,0
477,23586,0.5
478,1656,0
479,1666,0
480,7913,0
481,55667,0
482,8562,0
483,51071,0
485,1718,0
486,10901,0
487,51635,0
488,1665,0
489,1660,0
490,1729,0
491,1737,0
492,1738,0
493,22839,0
494,1743,0
495,8632,0
496,3301,1
497,10294,0
498,3337,0
499,51726,0
500,10049,1
501,54431,0
502,5611,0
503,80331,0
504,7266,0
505,22826,0
506,10059,0
507,1785,0
508,23549,0
509,55619,0
510,1794,0
511,81704,0
512,9046,0
513,8813,0
514,10072,0
515,91039,0
516,1806,0
517,1808,0
518,1810,0
519,4733,0
520,1819,0
521,11034,0
522,1845,0
523,1778,0
524,1781,0
525,51143,0
526,8655,0
527,140735,0
528,6993,0.5
529,8291,0
530,1891,0
531,55862,0
532,1892,0
533,1632,0
534,8411,0
535,1915,0
536,1933,0
537,1936,0
538,1937,0
539,1938,0
540,79180,0.5
541,9343,0
542,10938,1
543,30844,0.5
544,10209,0
545,1964,0
546,83939,0
547,5610,0.5
548,1967,0
549,8892,0
550,1965,0
551,8894,0
552,1968,0
553,8661,0
554,8662,0
555,728689,0
556,8664,0
557,3646,0
558,8665,0
559,8666,0
560,8667,0
561,8668,0
562,8669,0
563,27335,0.5
564,51386,0
565,10480,0
566,1973,0
567,1974,0
568,9775,0
569,1975,0
570,1977,0
571,1981,0
572,1982,0
573,7458,0
574,1983,0
575,1984,0
576,9669,0
577,3692,0
578,1994,0
579,9844,0
580,63916,0
581,9694,0
