EntrezID,PercInfected.Zscore,CellNumber.Zscore,assigned.value
690,-0.158806783,-1.209184061,0
694,-1.005188527,0.087680031,0
695,-0.595683106,0.939819489,0
696,0.707689768,0.1550296,0
699,-0.045645483,-0.350301062,0
701,-0.901259564,-0.706836163,0
705,-1.441586967,-2.012797338,0
706,0.481182812,0.154401439,0
708,1.639893799,0.513851788,0
710,1.311930317,-0.139352581,0
712,0.731033061,-3.253739306,0
713,1.652596944,-1.533745748,0
714,1.038221022,-1.061528281,0
715,1.63395126,0.943427584,0
716,-0.389262527,1.177020367,0
717,1.113626174,0.070344737,0
718,-1.436258833,1.496519073,0.5
719,-0.141934437,-0.189323604,0
720,0.276089376,0.024343564,0
721,-0.329105577,-0.563513433,0
722,-0.019365075,1.064715851,0
725,0.319259185,-0.801885691,0
726,-0.357989335,-0.501089276,0
727,-0.612597854,1.224724059,0
728,-1.90692225,1.889224448,0.5
729,-0.062150483,-1.344725562,0
730,2.507292297,-0.563513433,0
731,0.371651545,0.763722241,0
732,-0.896385152,0.854374715,0
733,-0.425714187,1.064715851,0
734,-0.527301465,1.329645361,0
735,0.671976026,-0.7717021,0
738,-1.407724541,-0.246769531,0.5
740,-0.357989335,0.572258336,0
741,-0.019365075,-0.177536463,0
744,2.080105337,-0.801885691,0
745,-1.199862694,0.186247811,0
746,-1.102962707,-1.487408337,0
747,-1.238412411,0.988473317,0
750,0.217671907,0.954687577,0
752,0.353121611,0.073551522,0
753,0.251534333,-1.254655077,0
754,-0.360257041,0.799544707,0
755,-1.509311819,0.736010424,0.5
757,-0.764338447,-0.644641749,0
758,-0.053227501,-0.705752908,0
759,-0.429213737,0.950321258,0
760,-0.596060671,0.786894089,0
761,0.183809481,1.400615988,0
762,0.522433741,0.543313511,0
763,-0.493439039,0.812169145,0
765,-0.730476021,-0.068237387,0
766,2.012380485,0.82452735,0
767,0.014497351,1.426462146,0
768,0.766859637,1.100811812,0
770,1.131957409,1.356618376,0
771,-1.184096515,-1.127599722,0
773,0.248309122,-2.507267159,0
774,0.004588291,0.335396196,0
775,1.301524988,-0.809704493,0
776,0.160541133,1.243820168,0
777,0.116657139,1.409142014,0
778,0.379961105,-0.585700685,0
779,0.471759705,0.20653578,0
780,-0.228991358,0.201705104,0
781,-0.378913702,0.276066655,0
782,-0.154814779,-0.343845333,0
783,1.131957409,-0.155089686,0
784,-1.136825133,-1.012786808,0
785,-0.696168831,0.950321258,0
786,-2.152697913,1.245974958,1
788,-1.375398672,1.181354468,0
790,-0.628888743,0.453301408,0
793,0.538498479,0.223249747,0
794,0.251534333,0.390443799,0
795,0.082222203,-0.177536463,0
796,1.15238996,-0.262535231,0
797,-0.256402057,0.5578494,0
799,-0.906762489,0.769343429,0
800,0.014497351,1.417891671,0
801,-0.08310151,0.497548415,0
805,-0.180835541,1.152185639,0
808,-0.045645483,0.534227184,0
810,-0.764338447,0.130776196,0
811,1.392893082,-0.94430411,0
813,-0.865925725,0.341677312,0
814,-0.167876066,0.146038156,0
815,1.604467386,-0.400740339,0
816,-1.023490146,1.566298527,0
817,-0.473452523,0.748483599,0
818,-1.206836021,1.239856167,0
819,0.319259185,0.600704087,0
820,0.438390318,0.439877686,0
821,-0.180835541,-0.071298468,0
822,-0.262800659,-1.758772282,0
823,1.381049536,0.378099968,0
824,-0.461520162,1.263291353,0
825,-0.587111408,0.979617679,0
826,1.092018995,1.036696173,0
827,-2.491322173,0.908535961,1
828,0.228990048,0.341009003,0
829,0.720780755,0.660074234,0
830,0.972300506,-0.239032239,0
831,0.238173998,0.350766303,0
832,0.972300506,0.60388964,0
833,-1.035237855,-0.903968516,0
834,1.657210631,-3.031392605,0
835,1.200405448,0.574109088,0
836,1.325095094,-0.714284743,0
837,-0.100231986,0.805268165,0
838,-0.100231986,0.210586424,0
839,1.430829555,-1.073548132,0
840,0.902157254,0.794206063,0
841,0.232929337,0.786713849,0
842,-0.026030899,0.691227317,0
843,-1.292482968,-0.067555499,0
844,-0.426730895,0.646140202,0
845,-0.180835541,1.141703567,0
846,-0.730263708,1.180711156,0
847,-0.543951369,1.035526692,0
857,-0.06916744,0.609089096,0
858,-1.697250434,-0.535957503,1
859,-0.562691284,1.340389528,0
860,-0.69808668,-2.546125346,0
861,0.41857621,-0.347652281,0
862,-0.546731749,-1.779348797,0
863,1.67502033,-0.536239153,0
864,0.665891984,0.743528712,0
865,0.652309055,0.27488474,0
866,-1.639974836,1.121874858,0.5
867,-0.304119162,0.151222609,0
868,0.251534333,0.761789271,0
869,0.138065838,0.36598347,0
871,0.088054559,0.072099141,0
873,1.906643335,-0.678988094,0
874,-0.429213737,1.107311563,0
875,0.267750492,0.115853706,0
881,-1.035237855,0.988473317,0
883,1.301269539,-1.343855864,0
885,0.030250623,-0.173733977,0
886,2.238530252,-3.122398172,0
887,-0.4825507,0.627938307,0
889,-1.296817793,2.056166533,0
890,0.104696451,-1.44033874,0
891,1.606318855,-0.83678906,0
892,-0.262366803,1.514276342,0
894,-0.29573619,-0.535957503,0
896,1.105778053,-0.482291901,0
898,1.472841308,-0.904769707,0
899,-0.329105577,1.426022277,0
900,0.338282158,0.304184649,0
901,1.105778053,0.798349669,0
902,-0.39584435,0.642284445,0
904,-2.064313688,-0.508889315,1
905,0.004588291,0.25613946,0
908,-0.59066113,-2.701824213,0
909,0.171435224,-0.975913359,0
910,1.13914744,-2.189011073,0
911,1.639688241,-0.380299933,0
912,1.157581096,-0.729170436,0
913,0.149947055,-0.801885691,0
914,0.841928564,-0.064302717,0
915,-0.465774785,0.838292727,0
916,-0.552154646,1.158887057,0
917,-0.195215471,1.363442272,0
919,-0.601054441,0.72158816,0
920,-3.162525347,1.767687649,1
921,-1.457825601,1.354183545,0.5
922,0.232929337,-0.02111997,0
923,-1.728384914,0.911910701,0.5
924,-1.512412478,1.608429316,0.5
925,-1.322545944,-0.31497707,0
926,-1.953851008,1.779613175,0.5
928,1.622397051,-0.584524429,0
929,-1.367639163,1.157684936,0
930,0.966650003,-1.321401731,0
931,-0.140728693,0.515439943,0
932,0.014497351,-0.737178861,0
933,0.14702493,0.500274688,0
934,-1.163340246,-0.151619149,0
939,1.204654357,-0.638163881,0
940,0.887021783,-0.043228958,0
941,0.65873073,-0.498842178,0
942,1.159160722,-1.446264766,0
943,0.859082927,-1.31565138,0
944,0.021819831,0.043333964,0
945,1.608513285,-0.31497707,0
946,-1.407724541,-1.129292565,0.5
947,-1.410312309,-0.929486456,0.5
948,-1.006893411,1.072326264,0
949,-1.098881496,0.847441786,0
950,-0.250344558,1.162806357,0
951,1.773165788,-0.649291768,0
952,0.761177973,0.584872129,0
953,-0.461520162,-0.697744552,0
954,0.454708889,-1.17003075,0
955,-1.102962707,-1.089536119,0
956,-1.762157597,1.4762257,0.5
957,0.513957913,-1.429072998,0
958,0.98405938,-0.206881019,0
959,-1.070027423,1.673330855,0
960,-0.330495128,0.381405108,0
961,-1.410312309,0.819096424,0.5
962,-0.098870423,0.545336382,0
963,0.505129092,-0.93992787,0
965,0.884710991,-1.36051167,0
966,0.571867865,0.510365403,0
967,-0.429213737,0.102224035,0
968,-0.09551987,0.009510029,0
969,-0.826520536,0.33161931,0
970,0.112807103,0.942835265,0
971,-0.555961222,1.326104067,0
972,-0.975551761,1.16902511,0
973,-0.716591526,0.237780937,0
974,-0.284991134,-0.426019107,0
975,-0.180835541,1.033244649,0
976,-1.377425906,1.889224448,0
977,0.228990048,0.75459912,0
