"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","replicate1","replicate2","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","Pathway"
"LARP1B",55132,6,0.99248,0.9925,0.999816,21532,0,1.403,0.051599,0.14179,0.990367,2828,4,1.403,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LARP4",113251,6,0.99435,0.99438,0.999816,21569,0,1.5175,0.042277,0.11969,0.990367,2379,3,1.5175,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LARP4B",23185,6,0.13594,0.32275,0.995379,6632,4,-0.86045,0.18056,0.34273,0.990367,6911,2,-0.86045,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LARP6",55323,6,0.82689,0.90872,0.998285,19425,1,0.80431,0.19364,0.36163,0.990367,7281,1,0.80431,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LARP7",51574,5,0.98852,0.98852,0.999727,21433,0,0.65035,0.21074,0.35074,0.990367,7760,2,0.65035,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LARS",51520,6,0.061716,0.19049,0.995379,3846,4,-3.418,0.88059,0.88065,0.997659,19149,0,-3.418,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"LARS2",23395,5,0.84731,0.88351,0.997824,19555,1,1.1972,0.0115,0.037775,0.973334,856,3,1.1972,0,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"LAS1L",81887,6,0.34381,0.58027,0.995379,12034,3,0.22151,0.15008,0.29798,0.990367,6066,3,0.22151,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LASP1",3927,6,0.14213,0.33302,0.995379,6844,3,-1.3921,0.10202,0.22529,0.990367,4535,1,-1.3921,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LAT",27040,6,0.53971,0.75283,0.99581,15734,2,2.0655,0.0042327,0.017298,0.973334,344,4,2.0655,0,0,"MedConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Natural killer cell mediated cytotoxicity, Ras signaling pathway, Rap1 signaling pathway, T cell receptor signaling pathway"
"LAT2",7462,6,0.98512,0.98525,0.999727,21372,0,2.219,0.0074901,0.029496,0.973334,598,5,2.219,0,0,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"LATS1",9113,5,0.13626,0.31476,0.995379,6648,3,-0.74682,0.063003,0.14724,0.990367,3256,2,-0.74682,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"LATS2",26524,6,0.44188,0.66806,0.995427,13972,2,1.88,0.032347,0.095313,0.990367,1909,4,1.88,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"LAX1",54900,6,0.0085989,0.038132,0.989847,759,4,-4.8438,0.75493,0.77889,0.992015,16902,1,-4.8438,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LAYN",143903,6,0.02718,0.096111,0.995379,1975,2,-0.29615,0.13991,0.28276,0.990367,5772,2,-0.29615,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LBH",81606,6,0.76915,0.87284,0.996513,18672,2,0.5197,0.32667,0.4896,0.990367,10191,1,0.5197,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LBP",3929,6,0.79877,0.89085,0.998011,19039,2,0.95734,0.16358,0.31809,0.990367,6429,3,0.95734,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"LBR",3930,5,0.05254,0.15019,0.995379,3365,2,-0.089544,0.11434,0.23771,0.990367,4958,2,-0.089544,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LBX1",10660,6,0.0098272,0.042262,0.989847,851,2,0.060606,0.60404,0.70343,0.991961,14953,1,0.060606,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LBX2",85474,6,0.76198,0.86852,0.995987,18569,1,1.0919,0.15887,0.31108,0.990367,6299,3,1.0919,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LCA5",167691,6,0.031277,0.10816,0.995379,2198,2,1.804,0.022172,0.069461,0.990367,1400,4,1.804,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LCA5L",150082,6,0.42334,0.65171,0.995379,13640,2,-0.35159,0.17572,0.33573,0.990367,6778,3,-0.35159,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LCAT",3931,6,0.43632,0.66311,0.995427,13879,2,1.3575,0.052845,0.14467,0.990367,2882,4,1.3575,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"LCE1A",353131,5,0.27998,0.49087,0.995379,10686,3,-1.1681,0.24393,0.3838,0.990367,8537,1,-1.1681,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LCE1B",353132,5,0.41091,0.62842,0.995379,13392,2,-0.30225,0.70886,0.725,0.992015,16235,1,-0.30225,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
