"","EntrezID","AveCells.LogPlateNorm","Replicate1","Score","PrimaryTier","ConfirmTier","RANK.hits","RANK.nonhits","Normalized.triage","Selected.triage","Confirmed.triage"
"9311",51163,-1.81939772443203,1.16,0.514,0,0,11326,11116,0,0,0
"9312",51164,-0.649291768442754,0.96,-0.229,0,0,6663,6453,0,0,0
"9313",51166,1.63108371274916,1.35,1.009,0,0,13795,13585,0,0,0
"9314",51167,-0.591396563490523,0.81,-0.812,0,0,3351,3141,0,0,0
"9315",51168,-0.0676052423284458,0.81,-0.846,0,0,3213,3003,0,0,0
"9316",51170,-0.965170819095004,1.61,2.1,0,0,16213,16003,0,0,0
"9317",51171,-1.32239814513321,1.26,0.867,0,0,13142,12932,0,0,0
"9318",51172,0.789428428698974,1.12,0.25,0,0,9788,9578,0,0,0
"9319",51174,0.80418369910896,0.75,-1.122,0,0,2045,1835,0,0,0
"9320",51175,0.864464855452873,0.79,-0.947,0,0,2729,2519,0,0,0
"9321",51176,0.905544512717314,0.9,-0.919,0,0,2852,2642,0,0,0
"9322",51177,0.38536139731503,1.5,1.407,0,0,15166,14956,0,0,0
"9323",51179,-0.0979083082156849,1.37,1.011,0,0,13797,13587,0,0,0
"9324",51181,-2.77710338328608,0.93,-0.296,0,0,NA,NA,0,0,0
"9325",51182,-0.119046661585857,0.74,-0.908,0,0,2898,2688,0,0,0
"9326",51184,-0.119046661585857,0.55,-1.486,0,0,1008,800,0.5,0,0.5
"9327",51185,0.64016380237055,0.89,-0.451,0,0,5315,5105,0,0,0
"9328",51186,-0.707002540040468,0.97,-0.207,0,0,6795,6585,0,0,0
"9329",51187,-1.26114878546508,0.55,-1.486,0,0,1009,801,0.5,0,0.5
"9330",51188,-1.50064421935404,1.37,1.011,0,0,13798,13588,0,0,0
"9331",51191,-0.141778354695623,1.09,0.41,0,0,10725,10515,0,0,0
"9332",51192,-2.2265449520801,1.49,2.15,0,0,NA,NA,0,0,0
"9333",51193,-0.323469612775243,0.76,-0.847,0,0,3206,2996,0,0,0
"9334",51194,0.80124327655664,1.73,2.107,0,0,16222,16012,0,0,0
