Column1,GeneSymbol,Cutoff
17306,AKNA,0
7187,AKNAD1,0
912,AKR1A1,0
2377,AKR1A1,0
1504,AKR1B1,0
6563,AKR1B1,0
13911,AKR1B10,0
10939,AKR1B15,0
5285,AKR1C1,0
5287,AKR1C2,0
18620,AKR1C3,0
3011,AKR1C4,0
10230,AKR1C6P,0
9374,AKR1CL1,0
15750,AKR1D1,0
17704,AKR1E2,0
1013,AKR7A2,0
18569,AKR7A2,0
6462,AKR7A3,0
7092,AKR7L,0
784,AKT1,0
5940,AKT1,0
18070,AKT1S1,0
5950,AKT2,0
2072,AKT3,0
15190,AKTIP,0
1790,ALAD,0
5957,ALAD,0
5965,ALAS1,0
5974,ALAS2,0
5982,ALB,0
1557,ALCAM,0
5991,ALCAM,0
1410,ALDH16A1,0
3855,ALDH16A1,0
14414,ALDH18A1,0
1214,ALDH1A1,0
6006,ALDH1A1,0
478,ALDH1A2,0
18803,ALDH1A2,0
6123,ALDH1A3,0
6034,ALDH1B1,0
2799,ALDH1L1,0
5144,ALDH1L2,0
837,ALDH2,0
6015,ALDH2,0
6024,ALDH3A1,0
380,ALDH3A2,0
6288,ALDH3A2,0
6163,ALDH3B1,0
6240,ALDH3B2,0
1402,ALDH4A1,0
18633,ALDH4A1,0
16705,ALDH5A1,0
10849,ALDH6A1,0
11406,ALDH7A1,0
15250,ALDH8A1,0
1196,ALDH9A1,0
6279,ALDH9A1,0
982,ALDOA,0
6310,ALDOA,0
6410,ALDOB,0
740,ALDOC,0
6482,ALDOC,0
1314,ALG1,0
13589,ALG1,0
18351,ALG10,0
4527,ALG10B,0
10897,ALG11,0
16676,ALG12,0
17024,ALG13,0
5731,ALG14,0
5777,ALG1L,0
18485,ALG2,0
2247,ALG3,0
8765,ALG5,0
8801,ALG6,0
16653,ALG8,0
16962,ALG9,0
7041,ALK,0
18796,ALKBH1,0
3682,ALKBH2,0
6177,ALKBH3,0
12644,ALKBH4,0
12736,ALKBH5,0
18391,ALKBH6,0
18004,ALKBH7,0
19288,ALKBH8,0
13470,ALLC,0
16580,ALMS1,0
7042,ALOX12,0
7060,ALOX12B,0
1186,ALOX15,0
7087,ALOX15,0
7101,ALOX15B,0
7045,ALOX5,0
7046,ALOX5AP,0
14564,ALOXE3,0
7103,ALPI,0
17216,ALPK1,0
3427,ALPK2,0
14185,ALPK3,0
7107,ALPL,0
7113,ALPP,0
7114,ALPPL2,0
14283,ALS2,0
7449,ALS2CL,0
4859,ALS2CR11,0
4075,ALS2CR12,0
17376,ALX1,0
7301,ALX3,0
14692,ALX4,0
993,ALYREF,0
2242,ALYREF,0
6966,AMACR,0
7353,AMBN,0
7433,AMBP,0
13292,AMBRA1,0
7650,AMD1,0
4523,AMDHD1,0
11566,AMDHD2,0
7758,AMELX,0
7802,AMELY,0
4340,AMER1,0
6038,AMER2,0
5915,AMER3,0
7833,AMFR,0
7863,AMHR2,0
3638,AMICA1,0
14126,AMIGO1,0
9550,AMIGO2,0
10037,AMIGO3,0
20136,AMMECR1,0
17715,AMMECR1L,0
17499,AMN,0
5658,AMN1,0
4996,AMOT,0
4999,AMOTL1,0
11902,AMOTL2,0
7889,AMPD1,0
1371,AMPD2,0
7946,AMPD2,0
8006,AMPD3,0
8053,AMPH,0
8115,AMT,0
10497,AMTN,0
8117,AMY1A,0
8126,AMY1B,0
8135,AMY1C,0
8145,AMY2A,0
8156,AMY2B,0
5015,AMZ1,0
11837,AMZ2,0
15280,ANAPC1,0
2425,ANAPC10,0
11973,ANAPC11,0
7396,ANAPC13,0
7439,ANAPC15,0
3603,ANAPC16,0
8767,ANAPC2,0
8814,ANAPC4,0
11910,ANAPC5,0
11911,ANAPC7,0
8203,ANG,0
6775,ANGEL1,0
19105,ANGEL2,0
8304,ANGPT1,0
8409,ANGPT2,0
11877,ANGPT4,0
19087,ANGPTL1,0
6847,ANGPTL2,0
8070,ANGPTL3,0
11674,ANGPTL4,0
7167,ANGPTL5,0
17792,ANGPTL6,0
2273,ANGPTL7,0
8493,ANK1,0
8542,ANK2,0
8553,ANK3,0
4833,ANKAR,0
9555,ANKDD1A,0
14980,ANKEF1,0
5201,ANKFN1,0
11940,ANKFY1,0
13660,ANKH,0
12729,ANKHD1,0
10593,ANKHD1-EIF4EBP3,0
12478,ANKIB1,0
7227,ANKK1,0
3891,ANKLE1,0
11794,ANKMY1,0
13920,ANKMY2,0
14331,ANKRA2,0
7920,ANKRD1,0
13274,ANKRD10,0
8674,ANKRD11,0
6693,ANKRD12,0
18795,ANKRD13A,0
3804,ANKRD13B,0
17460,ANKRD13C,0
9257,ANKRD13D,0
12521,ANKRD16,0
7577,ANKRD17,0
7713,ANKRD2,0
17963,ANKRD20A1,0
10944,ANKRD20A2,0
10913,ANKRD20A5P,0
3589,ANKRD22,0
5769,ANKRD23,0
5432,ANKRD24,0
6366,ANKRD26,0
17897,ANKRD27,0
6684,ANKRD28,0
4669,ANKRD29,0
19154,ANKRD30A,0
17990,ANKRD32,0
9388,ANKRD33,0
8390,ANKRD34A,0
9335,ANKRD34B,0
4741,ANKRD35,0
9877,ANKRD36,0
14323,ANKRD36B,0
9623,ANKRD37,0
11758,ANKRD39,0
19205,ANKRD40,0
9258,ANKRD42,0
983,ANKRD44,0
19237,ANKRD44,0
9297,ANKRD45,0
5038,ANKRD46,0
12697,ANKRD49,0
14022,ANKRD50,0
17117,ANKRD53,0
4022,ANKRD54,0
16904,ANKRD55,0
6394,ANKRD6,0
13703,ANKRD7,0
3693,ANKRD9,0
6727,ANKS1A,0
13816,ANKS1B,0
3771,ANKS3,0
7328,ANKS4B,0
5876,ANKS6,0
12950,ANKZF1,0
12463,ANLN,0
12923,ANO1,0
12942,ANO10,0
13953,ANO2,0
15007,ANO3,0
3681,ANO4,0
5894,ANO5,0
741,ANO6,0
5671,ANO6,0
