GeneSymbol	EntrezID
Grin2c	14813
Grin2d	14814
Nr3c1	14815
Grn	14824
Grp	225642
Pdia3	14827
Hspa5	14828
Grpr	14829
Gsc	14836
Gsx1	14842
Gsx2	14843
Gsn	227753
Gss	14854
Gsta3	14859
Gstm1	14862
Gstm2	14863
Gstm4	14865
Gsta2	14858
Gstp2	14869
Gstp1	14870
Guk1	14923
Gusb	110006
Gypa	14934
H13	14950
H1f0	14958
H2-Aa	14960
H2-D1	14964
H2-Eb1	14969
H2-Eb2	381091
H2-K1	14972
Pfdn6	14976
Slc39a7	14977
H2-Ke6	14979
H2-M1	224756
H2-M2	14990
H2-M3	14991
H2-M5	240095
H2-DMa	14998
H2-DMb1	14999
H2-DMb2	15000
H2-Oa	15001
H2-Ob	15002
H2-Q1	15006
H2-Q10	15007
H2-Q2	15013
H2-Q4	15015
H2-Q6	110557
H2-Q7	15018
H2-T22	15039
H2-T23	15040
H2-T24	15042
H2-T3	15043
Ifi44l	15061
Selenos	109815
Hadh	15107
Hal	15109
Hao1	15112
Hao2	56185
Hat1	107435
Hba-a1	15122
Hba-a2	110257
Hba-x	15126
Hbb-bh1	15132
Hbb-bh2	436003
Hbb-y	15135
Hc	15139
Serpind1	15160
Hck	15162
Ptpn6	15170
Hdc	15186
Htt	15194
Hbegf	15200
Hesx1	15209
Hexa	15211
Hexb	15212
Hgd	15233
Hgf	15234
Mst1	15235
Nrg1	211323
Hhex	15242
Asmt	107626
Hist2h2aa1	15267
Hivep1	110521
Hk1	15275
Hlf	217082
Hlx	15284
Hmbs	15288
Hmgb1	15289
Hmgn1	15312
Hmgn2	15331
Hmgb2	97165
Hmgcl	15356
Hmgcr	15357
Hmga1	15361
Hmga1b	111241
Hmox1	15368
Hoxa1	15394
Hoxa10	15395
Hoxa11	15396
Hoxa13	15398
Hoxa2	15399
Hoxa3	15400
Hoxa4	15401
Hoxa5	15402
Hoxa6	15403
Hoxa7	15404
Hoxa9	15405
Hoxb1	15407
Hoxb2	103889
Hoxb3	15410
Hoxb4	15412
Hoxb5	15413
Hoxb6	15414
Hoxb7	15415
Hoxb8	15416
Hoxb9	15417
Hoxc10	209448
Hoxc11	109663
Hoxc12	15421
