"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","replicate1","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"IFNA2",3440,6,0.30725,0.78456,0.82039,0.99668,0.43271,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0",NA
"IFNA21",3452,5,0.33731,0.76652,0.75974,0.99458,0.44337,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0",NA
"IFNA4",3441,5,0.77294,1.1558,0.058948,0.74145,0.24775,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0",NA
"IFNA5",3442,6,0.19439,0.49749,0.83906,0.99668,0.61884,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0",NA
"IFNA6",3443,6,0.31461,0.63647,0.7991,0.99598,0.52447,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0",NA
"IFNA7",3444,6,0.77024,1.1018,0.042909,0.67502,0.27056,0.94395,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Cytosolic DNA-sensing pathway"
"IFNA8",3445,6,0.32064,0.54693,0.78209,0.99598,0.58443,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0",NA
"IFNAR1",3454,6,0.36182,0.79827,0.66424,0.9938,0.42471,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IFNAR2",3455,6,0.38986,0.73575,0.58547,0.98867,0.46189,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IFNB1",3456,6,0.13437,0.30093,0.6683,0.9938,0.76347,0.95045,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0",NA
