"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","replicate1","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"BNC1",646,6,0.31985,0.58654,0.78352,0.99598,0.55751,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BNC2",54796,6,0.57819,0.79038,0.19878,0.91998,0.42931,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BNIP1",662,6,0.22002,0.56098,0.9145,0.99913,0.57481,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"BNIP2",663,6,0.42338,0.85772,0.49859,0.98209,0.39105,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BNIP3",664,6,0.080944,0.19155,0.52994,0.98209,0.8481,0.96719,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"BNIP3L",665,6,0.0019363,0.0048949,0.36042,0.97382,0.99609,0.99975,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"BNIPL",149428,6,0.017193,0.042845,0.39157,0.97543,0.96582,0.99213,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BOC",91653,6,-0.12278,-0.37983,0.17293,0.90563,0.70407,0.94531,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"BOD1",91272,6,0.53025,1.1125,0.27451,0.95663,0.26592,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BOD1L1",259282,6,0.31582,0.6467,0.79513,0.99598,0.51783,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BOD1L2",284257,6,0.43715,1.0458,0.46301,0.98007,0.29566,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BOK",666,6,-0.25068,-0.72273,0.073559,0.78048,0.46985,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"BOLA1",51027,6,0.38139,0.73033,0.60925,0.98948,0.46519,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BOLA2",552900,6,-0.22442,-1.0676,0.087478,0.80186,0.28571,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BOLA3",388962,6,0.076522,0.27834,0.51998,0.98209,0.78075,0.95305,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BOLL",66037,6,0.51753,1.0003,0.29677,0.96222,0.31716,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BOP1",23246,6,-0.33276,-0.75191,0.038945,0.64791,0.4521,0.94395,0,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"BORA",79866,6,0.14338,0.41492,0.69415,0.9938,0.6782,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BPGM",669,6,0.47194,0.68256,0.38392,0.97543,0.49488,0.94395,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"BPHL",670,6,0.30826,1.0242,0.8179,0.99668,0.30573,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BPI",671,6,0.737,0.9643,0.057612,0.73706,0.33489,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BPIFA1",51297,6,0.56395,1.0683,0.21952,0.93743,0.28539,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BPIFA2",140683,6,0.46164,0.91504,0.40559,0.97543,0.36017,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BPIFA3",128861,6,0.36053,1.0904,0.66811,0.9938,0.27552,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BPIFB1",92747,6,0.39808,0.79134,0.56238,0.98595,0.42875,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BPIFB2",80341,6,0.34673,0.67503,0.70544,0.9938,0.49966,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BPIFB3",359710,6,0.16966,0.41058,0.7678,0.99494,0.68138,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BPIFB4",149954,6,0.47307,1.0625,0.38203,0.97543,0.28799,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BPIFB6",128859,6,0.45656,0.92002,0.41715,0.97594,0.35756,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BPIFC",254240,6,0.43516,0.77259,0.46831,0.98105,0.43976,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BPNT1",10380,6,0.75643,1.2145,0.048256,0.69753,0.22455,0.94395,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"BPTF",2186,6,0.11585,0.27451,0.61741,0.98948,0.7837,0.9534,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BPY2",9083,5,0.42698,1.1731,0.5286,0.98209,0.24075,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BPY2C",442868,1,0.32697,0.58793,0.90902,0.99913,0.55658,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRAF",673,6,0.19731,0.49811,0.84698,0.99688,0.61841,0.94395,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"BRAP",8315,6,0.19035,0.42539,0.8274,0.99668,0.67055,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"BRAT1",221927,6,-0.136,-0.407,0.1585,0.89487,0.68401,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRCA1",672,6,0.28962,0.65274,0.87422,0.9983,0.51393,0.94395,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"BRCA2",675,6,-0.099631,-0.3091,0.1992,0.91998,0.75725,0.95003,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"BRCC3",79184,6,0.42522,0.93097,0.49408,0.98209,0.35187,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"BRD1",23774,6,0.13916,0.35489,0.683,0.9938,0.72267,0.94638,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRD2",6046,6,-0.36152,-1.1608,0.031018,0.60359,0.24574,0.94395,0,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"BRD3",8019,6,0.47043,1.0225,0.38729,0.97543,0.30653,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRD4",23476,6,-0.065348,-0.16818,0.24589,0.9507,0.86644,0.9702,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRD7",29117,6,0.047085,0.1282,0.452,0.98007,0.89799,0.9766,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRD8",10902,6,0.21074,0.70901,0.8868,0.9983,0.47832,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRD9",65980,6,0.05979,0.1807,0.48071,0.98209,0.8566,0.96925,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRDT",676,6,0.58236,1.0878,0.1933,0.91985,0.2767,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRF1",2972,6,-1.0475,-2.2253,0.0000461,0.022727,0.026059,0.94395,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"BRF2",55290,6,0.47914,1.0913,0.36936,0.97382,0.27514,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRI3",25798,6,0.36989,0.36964,0.64161,0.99266,0.71165,0.94548,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRI3BP",140707,6,0.03992,0.12757,0.43688,0.97974,0.89849,0.9766,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRICD5",283870,6,0.14462,0.33407,0.69696,0.9938,0.73833,0.94793,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRINP1",1620,4,0.43673,0.88372,0.55399,0.98363,0.37685,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRINP2",57795,6,0.080757,0.25673,0.52957,0.98209,0.79738,0.95613,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRINP3",339479,6,0.28651,0.80212,0.88372,0.9983,0.42248,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRIP1",83990,6,0.15974,0.378,0.73932,0.9938,0.70543,0.94531,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"BRIX1",55299,6,-0.48917,-1.5474,0.011615,0.45242,0.12177,0.94395,0,"MedConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf",NA
"BRK1",55845,6,0.043241,0.12471,0.44462,0.97974,0.90075,0.97682,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"BRMS1",25855,6,0.010682,0.034994,0.37849,0.97543,0.97208,0.99325,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRMS1L",84312,6,0.25655,0.57441,0.9746,0.9993,0.56569,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BROX",148362,6,0.48349,0.71992,0.36056,0.97382,0.47157,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRPF1",7862,6,0.10914,0.25046,0.60064,0.98885,0.80223,0.95791,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRPF3",27154,6,0.17024,0.41199,0.76909,0.99494,0.68035,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRS3",680,6,0.36054,0.8896,0.66806,0.9938,0.37368,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"BRSK1",84446,6,0.30807,0.61529,0.81859,0.99668,0.53836,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRSK2",9024,6,0.34361,0.9263,0.71549,0.9938,0.35429,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRWD1",54014,6,0.13218,0.44665,0.66235,0.9938,0.65513,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BRWD3",254065,6,0.28067,0.71597,0.90238,0.99913,0.47401,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BSCL2",26580,6,0.71118,1.1101,0.071392,0.778,0.26695,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BSDC1",55108,6,0.47048,0.84599,0.38724,0.97543,0.39756,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BSG",682,6,-0.15249,-0.45485,0.14302,0.8848,0.64922,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BSN",8927,6,0.35085,0.81575,0.69369,0.9938,0.41464,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BSND",7809,6,0.060456,0.14441,0.48196,0.98209,0.88518,0.97496,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BSPH1",100131137,5,0.345,0.6944,0.7372,0.9938,0.48743,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BSPRY",54836,6,0.46834,0.96809,0.39167,0.97543,0.333,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BST1",683,6,0.42779,0.87073,0.48804,0.98209,0.3839,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"BST2",684,6,-0.035295,-0.1315,0.29313,0.96222,0.89538,0.97646,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BSX",390259,6,0.34023,0.41408,0.72517,0.9938,0.67882,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTAF1",9044,6,0.31394,0.68468,0.8008,0.99656,0.49355,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTBD1",53339,6,0.023942,0.069815,0.40388,0.97543,0.94434,0.98625,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTBD10",84280,6,0.21499,0.55771,0.89948,0.99913,0.57705,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTBD11",121551,6,0.40816,0.80694,0.53842,0.98209,0.4197,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTBD16",118663,6,0.40773,0.63583,0.53948,0.98209,0.52489,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTBD17",388419,6,0.34416,0.9592,0.71365,0.9938,0.33746,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTBD18",643376,6,0.16086,0.13713,0.74291,0.9938,0.89093,0.97571,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTBD2",55643,6,-0.16957,-0.43235,0.12748,0.86905,0.66549,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTBD3",22903,6,0.48308,1.2755,0.36134,0.97382,0.20212,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTBD6",90135,6,0.12174,0.26708,0.63258,0.99122,0.78941,0.95405,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTBD7",55727,6,0.43076,1.0274,0.47979,0.98209,0.30422,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTBD8",284697,6,-0.17689,-0.40288,0.1214,0.8605,0.68703,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTBD9",114781,6,0.18419,0.34345,0.80864,0.99668,0.73126,0.94728,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTC",685,6,0.42214,0.90126,0.50187,0.98209,0.36745,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"BTD",686,6,0.21295,0.58168,0.89326,0.99846,0.56078,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"BTF3",689,6,0.058624,0.11998,0.4779,0.98191,0.9045,0.97773,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTF3L4",91408,6,0.29934,0.49409,0.84367,0.99684,0.62125,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTG1",694,6,0.55416,0.97333,0.23441,0.94875,0.33039,0.94395,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"BTG2",7832,6,0.09706,0.30723,0.57086,0.98835,0.75867,0.95003,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"BTG3",10950,6,1.0983,0.803,0.0016592,0.20725,0.42197,0.94395,0.5,"HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","RNA degradation"
"BTG4",54766,6,0.36885,0.99879,0.64461,0.99311,0.3179,0.94395,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"BTK",695,6,0.38797,1.0548,0.59119,0.98885,0.29151,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"BTLA",151888,6,0.42977,1.0271,0.48274,0.98209,0.30435,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTN1A1",696,6,0.43415,0.80964,0.47117,0.98138,0.41815,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTN2A1",11120,6,0.20645,0.59416,0.87408,0.9983,0.5524,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTN2A2",10385,6,0.14737,0.52227,0.7042,0.9938,0.60148,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTN3A1",11119,6,0.48837,0.99001,0.35129,0.97257,0.32217,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTN3A2",11118,6,0.37995,0.76307,0.61423,0.98948,0.44542,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTN3A3",10384,6,0.23992,0.60391,0.97705,0.9993,0.54591,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTNL3",10917,6,0.45269,1.07,0.4255,0.97734,0.28462,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTNL8",79908,6,-0.25938,-0.73472,0.069318,0.77646,0.46251,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTNL9",153579,6,0.35372,0.92466,0.68521,0.9938,0.35514,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BTRC",8945,6,0.55006,1.1502,0.24142,0.9507,0.25006,0.94395,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"BUB1",699,6,0.13468,0.36419,0.66922,0.9938,0.71572,0.94548,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"BUB1B",701,6,0.061351,0.16215,0.48398,0.98209,0.87119,0.97155,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"BUB3",9184,6,-0.38443,-1.0292,0.025902,0.56596,0.30337,0.94395,0,"MedConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Cell cycle"
"BUD13",84811,6,0.35266,0.58275,0.68811,0.9938,0.56006,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BUD31",8896,6,-1.0672,-2.6446,0.0000461,0.022727,0.0081793,0.94395,1,"HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Spliceosome"
"BVES",11149,6,0.028088,0.05728,0.4125,0.97594,0.95432,0.98811,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"BYSL",705,6,0.53225,0.87623,0.27073,0.95663,0.38091,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BZW1",9689,6,0.19091,0.41329,0.82896,0.99668,0.6794,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"BZW2",28969,6,0.14005,0.39733,0.68512,0.9938,0.69112,0.94435,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf105",414152,6,0.084149,0.2581,0.53795,0.98209,0.79633,0.95592,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf111",221060,6,0.27857,0.50523,0.9081,0.99913,0.6134,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf113",387638,6,0.23812,0.57282,0.97129,0.9993,0.56677,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf120",399814,6,0.38883,0.95426,0.58828,0.98885,0.33995,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf128",170371,6,0.26715,0.33347,0.94179,0.99913,0.73878,0.94793,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf25",220979,6,0.30564,0.49933,0.82472,0.99668,0.61755,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf53",282966,6,0.5937,1.2221,0.17708,0.90935,0.22168,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf55",414236,5,0.27562,0.67915,0.93013,0.99913,0.49704,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf62",414157,6,0.39107,0.8804,0.58183,0.98867,0.37864,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf67",256815,6,0.51757,0.8025,0.29672,0.96222,0.42226,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf71",118461,6,0.54447,1.2082,0.25022,0.95129,0.22696,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf76",79591,6,0.14557,0.5224,0.69954,0.9938,0.60139,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf82",143379,6,0.361,0.56478,0.66645,0.9938,0.57222,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf88",80007,6,0.45925,1.0289,0.41112,0.97594,0.30352,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf90",118611,6,0.33604,0.72442,0.73642,0.9938,0.46881,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf91",170393,6,0.38335,1.0237,0.60386,0.98945,0.30597,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf95",79946,6,0.073885,0.22884,0.51403,0.98209,0.81899,0.96192,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C10orf99",387695,6,0.28659,0.63979,0.88349,0.9983,0.52231,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf1",64776,6,0.33326,0.73212,0.74467,0.9938,0.46409,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf16",56673,6,0.47092,0.97333,0.38646,0.97543,0.33039,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf21",29125,6,0.42074,0.89592,0.50546,0.98209,0.37029,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf24",53838,6,0.54874,1.1218,0.2434,0.9507,0.26195,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf40",143501,6,0.17894,0.43101,0.79407,0.99598,0.66646,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf42",160298,6,0.62089,0.86082,0.14638,0.88715,0.38934,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf45",219833,6,0.18762,0.43617,0.81984,0.99668,0.66271,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf49",79096,6,0.11327,0.30115,0.6105,0.98948,0.7633,0.95045,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf52",91894,6,0.24931,0.66653,0.99604,1,0.50507,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf53",341032,6,0.52613,1.0347,0.28119,0.95663,0.30081,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf54",28970,6,0.66513,1.0933,0.10412,0.83174,0.27424,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf58",10944,6,0.26518,0.4669,0.94718,0.99913,0.64057,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf65",160140,6,-0.2901,-0.86264,0.054616,0.72655,0.38834,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf68",83638,6,0.29642,0.66995,0.85298,0.99688,0.50289,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf70",85016,6,0.21829,0.39956,0.9092,0.99913,0.68948,0.94411,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf71",54494,6,0.50557,0.97772,0.31935,0.96993,0.32821,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf74",119710,6,0.40125,0.69248,0.55519,0.98383,0.48864,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf80",79703,6,0.54331,0.92762,0.25202,0.9516,0.35361,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf84",144097,6,0.17872,0.70122,0.79352,0.99598,0.48316,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf86",254439,6,0.14072,0.47057,0.6871,0.9938,0.63795,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf87",399947,6,-0.048992,-0.15593,0.27179,0.95663,0.87609,0.97244,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf88",399949,6,0.33341,0.80972,0.74439,0.9938,0.4181,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf91",100131378,6,0.15263,0.26469,0.71922,0.9938,0.79125,0.95474,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf94",143678,6,0.43316,0.45246,0.47389,0.98149,0.65094,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C11orf96",387763,6,0.17473,0.27733,0.78297,0.99598,0.78153,0.95305,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"C12orf10",60314,6,0.20171,0.57622,0.85989,0.99786,0.56447,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
