"GeneSymbol","EntrezID","log2FC","pvalue","Cutoff","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","Pathway"
"Pdp1",381511,0.875634032,0.007850229,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Pdp2",382051,-0.508299194,0.190479676,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Pdpk1",18607,-0.596195069,0.000287559,1,"HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Autophagy - animal, FoxO signaling pathway, T cell receptor signaling pathway, AMPK signaling pathway, Neurotrophin signaling pathway, Apoptosis, Sphingolipid signaling pathway, Insulin resistance, Fc epsilon RI signaling pathway, mTOR signaling pathway, Insulin signaling pathway, Focal adhesion, PI3K-Akt signaling pathway, Thyroid hormone signaling pathway"
"Pdpn",14726,1.473566356,4.62e-05,1,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Pdpr",319518,-0.75188189,0.003087631,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Pdrg1",68559,-0.503292937,0.003332048,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Pds5a",71521,-0.310002181,0.048353297,0.5,"MedConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf",NA
"Pds5b",100710,-0.056269283,0.691999651,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Pdss1",56075,1.659859809,2.35e-05,1,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"Pdss2",71365,0.206277333,0.37358104,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"Pdxdc1",94184,-0.169033236,0.040831454,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Pdxk",216134,-1.489223275,4.43e-08,1,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"Pdxk-ps",435518,-5.198768026,0.138823463,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Pdxp",57028,-2.476661943,3.93e-07,1,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"Pdzd11",72621,0.687256321,0.000442348,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Pdzd2",68070,1.589552727,0.440662666,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Pdzd3",170761,-4.227539125,0.127797336,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Pdzd4",245469,-0.814614292,0.4205647,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Pdzd7",100503041,-2.277459083,0.212468224,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Pdzd8",107368,-0.420166543,0.003555815,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Pdzd9",67983,0.317796871,0.877360912,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Pdzk1",59020,0.056330805,0.976586601,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Pdzk1ip1",67182,1.018430119,0.048306844,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Pea15a",18611,-0.258613374,0.048512911,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Peak1",244895,-0.966348853,2.85e-05,1,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Pear1",73182,-0.615269966,0.62233428,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Pebp1",23980,0.051417587,0.768499325,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Pecam1",18613,0.96984163,0.193887127,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"Pecr",111175,-0.042910703,0.902978612,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"Pef1",67898,0.019649065,0.890932606,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Peg10",170676,-2.666386805,0.10789681,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Peg12",27412,-2.170587608,0.026101218,0.5,"MedConf","No","MedConf","No","MedConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Wnt signaling pathway"
"Peg13",353342,-2.429923921,4.63e-14,1,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Peli1",67245,1.887517259,9.88e-19,1,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Peli2",93834,-1.806142065,1.05e-05,1,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Peli3",240518,-1.864067061,0.004081123,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Pelo",105083,-0.854675355,0.000182739,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Pelp1",75273,-0.147588252,0.367286571,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Pemt",18618,-0.444131876,0.291718816,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"Penk",18619,0.197311944,0.805164905,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Peo1",226153,-1.591952066,7.97e-05,1,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Pepd",18624,0.151640035,0.267602307,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"Per1",18626,-0.822523788,0.006787363,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Circadian rhythm"
"Per2",18627,-1.970859121,4.39e-05,1,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
