"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","KEGG.5","KEGG.class.iteration5","Network.5","Network.class.iteration5","Pathway"
"MTUS1",57509,6,0.37094,0.28231,0.487119,12446,1,0.12436,0.088083,0.21013,1,3916,2,0.12436,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MTUS2",23281,6,0.72825,0.56925,0.704826,17507,2,0.41068,0.28372,0.46026,1,8847,2,0.41068,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MTX1",4580,6,0.26184,0.22533,0.462088,10341,1,1.0774,0.15476,0.33243,1,6039,3,1.0774,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MTX2",10651,6,0.067773,0.07001,0.33459,4166,5,-0.59159,0.061313,0.16678,1,3050,1,-0.59159,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MTX3",345778,6,0.13106,0.11399,0.359646,6457,2,0.82474,0.082334,0.19222,1,3735,3,0.82474,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUC1",4582,6,0.97105,0.8986,0.971453,20110,1,0.46294,0.18379,0.38016,1,6844,2,0.46294,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUC12",10071,6,0.27745,0.23292,0.464509,10607,3,-0.22267,0.0075393,0.039858,1,573,2,-0.22267,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"MUC15",143662,6,0.12444,0.10325,0.3564,6232,4,-1.3026,0.58857,0.71883,1,13646,1,-1.3026,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUC16",94025,6,0.54322,0.42145,0.590265,15402,2,0.60859,0.79767,0.85279,1,16556,1,0.60859,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUC17",140453,6,0.89977,0.77163,0.871321,19215,1,0.74981,0.43194,0.62279,1,11576,2,0.74981,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUC2",4583,6,0.37644,0.28401,0.488127,12548,1,2.1296,0.019382,0.071755,1,1213,4,2.1296,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUC20",200958,6,0.12725,0.10844,0.359646,6329,4,-1.2637,0.058621,0.16298,1,2946,2,-1.2637,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUC21",394263,6,0.25732,0.22441,0.462088,10232,3,-0.57879,0.87678,0.92065,1,18113,0,-0.57879,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUC22",100507679,6,0.18846,0.14663,0.381783,8260,4,-1.0132,0.59011,0.71987,1,13665,1,-1.0132,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUC4",4585,6,0.83625,0.727,0.837173,18762,1,1.4967,0.067794,0.17549,1,3271,3,1.4967,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUC5B",727897,6,0.0096266,0.015622,0.329107,831,4,-1.3674,0.87759,0.9214,1,18132,0,-1.3674,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"MUC6",4588,6,0.6051,0.47088,0.631422,16139,2,0.96418,0.38461,0.5742,1,10712,2,0.96418,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUC7",4589,5,0.45678,0.34048,0.529119,13945,1,0.05657,0.34551,0.53565,1,9974,1,0.05657,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"MUCL1",118430,5,0.049962,0.047491,0.329107,3223,4,-2.006,0.86485,0.91606,1,17906,0,-2.006,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUL1",79594,6,0.015337,0.027674,0.329107,1221,3,-2.6216,0.63066,0.74208,1,14099,1,-2.6216,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUM1",84939,5,0.90736,0.76544,0.86636,19286,1,0.50812,0.74375,0.80742,1,15618,1,0.50812,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUM1L1",139221,6,0.63736,0.496,0.650459,16477,2,0.96257,0.34823,0.52903,1,10022,1,0.96257,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUS81",80198,6,0.035603,0.046106,0.329107,2418,5,-2.3831,0.89458,0.94357,1,18459,0,-2.3831,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"MUSK",4593,6,0.01131,0.015808,0.329107,956,4,-4.0757,0.6508,0.74814,1,14330,1,-4.0757,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUSTN1",389125,5,0.84353,0.68467,0.799624,18821,1,1.2961,0.012889,0.055178,1,881,3,1.2961,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MUT",4594,6,0.31839,0.2513,0.471566,11391,3,-1.1641,0.14324,0.31259,1,5666,2,-1.1641,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"MUTYH",4595,6,0.64829,0.50084,0.653629,16601,2,0.29749,0.80555,0.86186,1,16690,1,0.29749,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"MVB12A",93343,6,0.75304,0.60129,0.732868,17790,2,1.0666,0.13472,0.29768,1,5421,3,1.0666,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"MVB12B",89853,6,0.57908,0.45691,0.621033,15869,2,-0.001427,0.89128,0.94018,1,18397,0,-0.001427,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"MVD",4597,5,0.31343,0.23636,0.464791,11295,2,0.40596,0.069532,0.16257,1,3326,2,0.40596,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"MVK",4598,5,0.77813,0.6416,0.764436,18080,1,0.0090632,0.10872,0.25388,1,4587,2,0.0090632,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"MVP",9961,6,0.0044538,0.0021886,0.107324,418,3,-1.6217,0.48257,0.67743,1,12518,2,-1.6217,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MX1",4599,6,0.77183,0.62568,0.751574,18008,1,3.9532,0.0000235,0.00021382,0.5036,7,5,3.9532,"HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf",NA
"MX2",4600,6,0.068734,0.070183,0.33459,4226,4,-2.1489,0.010135,0.042428,1,736,1,-2.1489,"MedConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf",NA
"MXD1",4084,6,0.97027,0.89681,0.970465,20096,1,0.60083,0.44649,0.64224,1,11855,2,0.60083,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MXD3",83463,6,0.191,0.14751,0.381783,8329,2,0.75386,0.41296,0.59603,1,11249,2,0.75386,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"MXD4",10608,6,0.41455,0.30566,0.50144,13205,2,-0.18774,0.58523,0.71782,1,13603,1,-0.18774,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
