"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","Pathway"
"SSTR3",6753,6,0.013049,0.26034,1,1205,5,-9.0099,0.95876,0.94245,1,19771,0,-9.0099,"LowConf","No","0","No","0","No","0","No","0",NA
"SSTR4",6754,6,0.46775,0.90193,1,14063,3,-7.8075,0.84078,0.86492,1,17388,0,-7.8075,"LowConf","No","0","No","0","No","0","No","0",NA
"SSTR5",6755,6,0.80899,0.97067,1,18294,1,-6.9452,0.25479,0.32782,1,5201,0,-6.9452,"LowConf","No","0","No","0","No","0","No","0",NA
"SSU72",29101,6,0.28137,0.81741,1,10761,2,-6.7107,0.62058,0.76568,1,12838,0,-6.7107,"LowConf","No","0","No","0","No","0","No","0",NA
"SSUH2",51066,6,0.65294,0.94824,1,16774,1,-6.28,0.33354,0.44719,1,6849,0,-6.28,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSX1",6756,6,0.1696,0.71154,1,7838,4,-7.7855,0.82216,0.85547,1,17005,0,-7.7855,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSX2",6757,6,0.085983,0.59333,1,5047,4,-8.5893,0.42279,0.58442,1,8777,0,-8.5893,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSX2B",727837,2,0.068626,0.28222,1,4296,2,-8.75,0.93137,0.83516,1,19214,0,-8.75,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSX2IP",117178,6,0.13555,0.67407,1,6806,4,-8.282,0.12438,0.14643,1,2532,0,-8.282,"LowConf","No","0","No","0","No","0","No","0",NA
"SSX3",10214,5,0.93527,0.97692,1,19596,1,-5.139,0.094594,0.11886,1,1916,0,-5.139,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSX4",6759,4,0.15018,0.58274,1,7255,3,-8.5992,0.32297,0.47075,1,6617,0,-8.5992,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
