"","EntrezID","Zscore","GeneSymbol","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","Replicate1"
"12351",210530,-0.174,"Leprel1",0,0,"Absent",0.042,0.042,"0","0","0",0
"12352",210554,0.893,"Hus1b",0,0,"Absent",0.496,0.496,"0","0","0",0
"12353",210622,-0.566,"Pamr1",0,0,"Absent",0.224,0.224,"0","0","0",0
"12354",210673,-0.177,"Prrt3",0,0,"Absent",0.109,0.109,"0","0","0",0
"12355",210710,2.111,"Gab3",0,1,"Absent",0.681,0.681,"0","0","0",0
"12356",210711,0.675,"Mcmbp",0,1,"Absent",0.244,0.244,"0","0","0",0
"12357",210719,-0.744,"Mkx",0,0,"Absent",0.029,0.029,"0","0","0",0
"12358",210741,1.961,"Kcnk12",0,0,"Absent",0.663,0.663,"0","0","0",0
"12359",210757,-1.306,"Themis",0,0,"Absent",0,0,"0","0","0",0
"12360",210766,-1.022,"Brcc3",0,1,"Absent",0.218,0.218,"0","0","0",0.5
"12361",210789,-0.412,"Tbc1d4",0,0,"Absent",0.006,0.006,"0","0","0",0
"12362",210801,-0.266,"Unc5d",0,0,"Present",0.055,0.055,"0","0","0",0
"12363",210808,-1.089,"Lacc1",0,0,"Absent",0,0,"0","0","0",0
"12364",210853,-1.095,"Zfp947",0,0,"Absent",0.03,0.03,"0","0","0",0
"12365",210925,0.634,"Ints9",0,1,"Absent",0.084,0.084,"0","0","0",0
"12366",210933,-1.944,"Bai3",0,1,"Absent",0.157,0.157,"HitbyZS","HitbyNA","HitbyCSA",1
"12367",210973,-0.103,"Kbtbd2",0,1,"Absent",0.336,0.336,"0","0","0",0
"12368",210980,2.045,"NA",0,0.5,"Absent",NA,0.055,"0","0","0",0
"12369",210992,-1.115,"Lpcat1",0,1,"Present",0.698,0.698,"0","0","0",0.5
"12370",210998,0.078,"D15Ertd621e",0,1,"Absent",0.047,0.047,"0","0","0",0
"12371",211006,-0.792,"Sepsecs",0,1,"Present",0.255,0.255,"0","0","0",0
"12372",211007,-0.005,"Trim41",0,1,"Absent",0.349,0.349,"0","0","0",0
"12373",211039,0.329,"BC016548",0,0,"Absent",0.143,0.143,"0","0","0",0
"12374",211135,0.036,"D130040H23Rik",0,0,"Absent",0.338,0.338,"0","0","0",0
"12375",211147,-0.57,"March11",0,1,"Absent",0.911,0.911,"0","0","0",0
"12376",211187,-0.812,"Lrtm2",0,0,"Absent",0.007,0.007,"0","0","0",0
"12377",211228,-0.627,"Lrrc25",0,1,"Absent",0.009,0.009,"0","0","0",0
"12378",211232,0.554,"Cpne9",0,0,"Absent",0.421,0.421,"0","0","0",0
"12379",211253,-0.306,"Mtrf1",0,1,"Absent",0.849,0.849,"0","0","0",0
"12380",211286,-1.58,"Cln5",0,1,"Present",0.001,0.001,"0","0","0",0
"12381",211305,-0.129,"Fbxw13",0,0,"Absent",0,0,"0","0","0",0
"12382",211323,-0.462,"Nrg1",0,1,"Present",NA,0.055,"0","0","0",0
"12383",211329,0.294,"Ncoa7",0,0,"Absent",0.044,0.044,"0","0","0",0
"12384",211347,-0.144,"Pank3",0,1,"Present",0.071,0.071,"0","0","0",0
"12385",211389,0.17,"Suox",0,1,"Present",0.372,0.372,"0","0","0",0
"12386",211401,0.169,"Mtss1",0,1,"Absent",0.018,0.018,"0","0","0",0
"12387",211429,0.136,"Pla2g4b",0,1,"Present",0.036,0.036,"0","0","0",0
"12388",211446,0.518,"Exoc3",0,1,"Present",0.072,0.072,"0","0","0",0
"12389",211468,2.474,"Kcnh8",0,0,"Absent",0.396,0.396,"0","0","0",0
"12390",211472,1.143,"Olfr1373",0,0,"Present",0.685,0.685,"0","0","0",0
"12391",211480,-0.576,"Kcnj14",0,0,"Absent",0.125,0.125,"0","0","0",0
"12392",211482,1.511,"Efhb",0,1,"Absent",0.894,0.894,"0","0","0",0
"12393",211484,1.102,"Tsga10",0,0,"Absent",0.199,0.199,"0","0","0",0
"12394",211496,1.088,"4932415M13Rik",0,0,"Absent",0.225,0.225,"0","0","0",0
"12395",211499,0.858,"Tmem87a",0,1,"Absent",0.292,0.292,"0","0","0",0
"12396",211548,1.627,"Nomo1",0,1,"Absent",0.316,0.316,"0","0","0",0
"12397",211550,0.636,"Tifa",0,0,"Absent",0.28,0.28,"0","0","0",0
"12398",211556,-0.298,"Ap1ar",0,1,"Absent",0.02,0.02,"0","0","0",0
"12399",211577,1.155,"Mrgprf",0,0,"Absent",0.245,0.245,"0","0","0",0
"12400",211578,1.075,"Mrgprd",0,0,"Absent",0.286,0.286,"0","0","0",0
"12401",211586,-0.554,"Tfdp2",0,1,"Present",0.012,0.012,"0","0","0",0
"12402",211623,-1.164,"Plac9a",0,0,"Absent",0.449,0.449,"0","0","0",0.5
"12403",211651,0.561,"Fancd2",0,1,"Absent",0.255,0.255,"0","0","0",0
"12404",211660,0.398,"Cspp1",0,1,"Absent",NA,0.055,"0","0","0",0
"12405",211666,0.272,"Mgst2",0,1,"Present",0.078,0.078,"0","0","0",0
"12406",211673,0.378,"Arfgef1",0,1,"Absent",0.093,0.093,"0","0","0",0
"12407",211712,0.353,"Pcdh9",0,0,"Absent",0.049,0.049,"0","0","0",0
"12408",211739,-1.409,"Vstm2a",0,0,"Absent",0.114,0.114,"0","0","0",0.5
"12409",211770,2.541,"Trib1",0,1,"Absent",0.819,0.819,"0","0","0",0
"12410",211798,-0.724,"Mfsd9",0,1,"Absent",0.001,0.001,"0","0","0",0
"12411",211896,0.645,"Depdc7",0,0,"Absent",0.579,0.579,"0","0","0",0
"12412",211922,0.492,"Dennd6a",0,1,"Absent",0.166,0.166,"0","0","0",0
"12413",211924,0.466,"Dsg1c",0,0,"Present",0.192,0.192,"0","0","0",0
"12414",211936,-0.401,"Ccdc73",0,0,"Absent",0.113,0.113,"0","0","0",0
"12415",211948,0.585,"Pde12",0,1,"Absent",0.088,0.088,"0","0","0",0
"12416",211949,-0.44,"Spsb4",0,0,"Absent",0,0,"0","0","0",0
"12417",211978,1.438,"Zfyve26",0,1,"Absent",NA,0.055,"0","0","0",0
"12418",211986,0.706,"Tmem18",0,0,"Absent",0.139,0.139,"0","0","0",0
"12419",212032,2.561,"Hk3",0,1,"Present",0.723,0.723,"0","0","0",0
"12420",212070,1.819,"Clrn3",0,0,"Absent",0.257,0.257,"0","0","0",0
"12421",212073,-0.851,"Syne3",0,1,"Absent",0.005,0.005,"0","0","0",0
"12422",212085,-1.143,"Trim52",0,0,"Absent",0.004,0.004,"0","0","0",0
"12423",212090,0.634,"Tmem60",0,1,"Absent",0.139,0.139,"0","0","0",0
"12424",212108,-0.544,"Rln3",0,1,"Absent",0.006,0.006,"0","0","0",0
"12425",212111,-0.566,"Inpp5a",0,1,"Present",0.115,0.115,"0","0","0",0
"12426",212114,0.37,"Nhlrc3",0,1,"Absent",0.074,0.074,"0","0","0",0
"12427",212123,0.43,"Dcaf15",0,1,"Absent",0.101,0.101,"0","0","0",0
"12428",212127,1.704,"Proser1",0,1,"Absent",0.645,0.645,"0","0","0",0
"12429",212139,-0.042,"Cc2d1a",0,1,"Absent",0.22,0.22,"0","0","0",0
"12430",212163,-0.198,"8030462N17Rik",0,1,"Absent",0.011,0.011,"0","0","0",0
"12431",212167,-0.184,"Gsap",0,1,"Absent",0.057,0.057,"0","0","0",0
"12432",212168,-0.544,"Zswim4",0,1,"Absent",0.059,0.059,"0","0","0",0
"12433",212190,-0.215,"Ubxn10",0,0,"Absent",0.083,0.083,"0","0","0",0
"12434",212198,-1.082,"Wdr25",0,1,"Absent",0.059,0.059,"0","0","0",0.5
"12435",212225,-1.295,"Gm4776",0,0,"Absent",0.031,0.031,"0","0","0",0
"12436",212276,-0.932,"Zfp748",0,1,"Absent",0.035,0.035,"0","0","0",0
"12437",212281,0.45,"A530054K11Rik",0,0,"Absent",0.413,0.413,"0","0","0",0
"12438",212307,-0.36,"Mapre2",0,1,"Absent",0.017,0.017,"0","0","0",0
"12439",212326,0.82,"Fam149a",0,0,"Absent",0.63,0.63,"0","0","0",0
"12440",212377,0.1,"Mms22l",0,1,"Absent",0.06,0.06,"0","0","0",0
"12441",212391,-0.755,"Lcor",0,1,"Absent",0.006,0.006,"0","0","0",0
"12442",212398,-0.751,"Frat2",0,0,"Present",0.002,0.002,"0","0","0",0
"12443",212427,0.64,"A730008H23Rik",0,1,"Absent",0.124,0.124,"0","0","0",0
"12444",212439,1.129,"AA986860",0,0,"Absent",0.162,0.162,"0","0","0",0
"12445",212442,1.009,"Lactb2",0,0,"Absent",0.767,0.767,"0","0","0",0
"12446",212483,0.021,"Fam193b",0,1,"Absent",0.055,0.055,"0","0","0",0
"12447",212503,-0.658,"Paox",0,1,"Present",0.262,0.262,"0","0","0",0
"12448",212508,-1.071,"Mtg1",0,1,"Absent",0.398,0.398,"0","0","0",0.5
"12449",212514,0.918,"Spice1",0,1,"Absent",0.166,0.166,"0","0","0",0
"12450",212516,0.129,"Efcab12",0,1,"Absent",0.062,0.062,"0","0","0",0
"12451",212518,0.236,"Sprn",0,0,"Absent",0.093,0.093,"0","0","0",0
"12452",212528,-1.149,"Trmt1",0,1,"Absent",0.324,0.324,"0","0","0",0.5
"12453",212531,-0.044,"Sh3bgrl2",0,1,"Absent",0.017,0.017,"0","0","0",0
"12454",212541,-0.066,"Rho",0,0,"Present",0.484,0.484,"0","0","0",0
"12455",212547,0.245,"BC027231",0,1,"Absent",0.076,0.076,"0","0","0",0
"12456",212555,-0.627,"Pqlc2",0,1,"Absent",0.024,0.024,"0","0","0",0
"12457",212569,1.199,"Zfp273",0,0,"Absent",0.902,0.902,"0","0","0",0
"12458",212627,0.869,"Prpsap2",0,1,"Absent",0.968,0.968,"0","0","0",0
"12459",212632,0.314,"Iffo2",0,1,"Absent",0.123,0.123,"0","0","0",0
