"","EntrezID","Zscore","GeneSymbol","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","Replicate1"
"3879",20277,0.186,"Scnn1b",0,0,"Present",0.191,0.191,"0","0","0",0
"3880",20278,1.738,"Scnn1g",0,0,"Present",0.442,0.442,"0","0","0",0
"3881",20280,1.398,"Scp2",0,1,"Present",0.154,0.154,"0","0","0",0
"3882",20284,-0.337,"Scrg1",0,0,"Absent",0.001,0.001,"0","0","0",0
"3883",20287,0.256,"Sct",0,0,"Absent",0.042,0.042,"0","0","0",0
"3884",20288,0.499,"Msr1",0,1,"Present",0.055,0.055,"0","0","0",0
"3885",20289,0.42,"Scx",0,0,"Absent",0.288,0.288,"0","0","0",0
"3886",20290,-0.589,"Ccl1",0,0,"Present",0,0,"0","0","0",0
"3887",20292,1.633,"Ccl11",0,1,"Present",0.477,0.477,"0","0","0",0
"3888",20293,0.351,"Ccl12 ,Ccl12",0,1,"Present",0.002,0.002,"0","0","0",0
"3889",20295,0.056,"Ccl17",0,1,"Present",0.037,0.037,"0","0","0",0
"3890",20296,2.056,"Ccl2",0,1,"Present",0.359,0.359,"0","0","0",0
"3891",20298,0.296,"NA",0,0.5,"Absent",NA,0.055,"0","0","0",0
"3892",20299,1.442,"Ccl22",0,0,"Present",0.085,0.085,"0","0","0",0
"3893",20300,-0.816,"Ccl25",0,1,"Present",0.059,0.059,"0","0","0",0
"3894",20301,0.071,"Ccl27a",0,0,"Present",0.056,0.056,"0","0","0",0
"3895",20302,-0.161,"Ccl3",0,1,"Present",0.109,0.109,"0","0","0",0
"3896",20303,0.184,"Ccl4",0,1,"Present",0,0,"0","0","0",0
"3897",20304,-0.296,"Ccl5",0,1,"Present",0.002,0.002,"0","0","0",0
"3898",20305,-1.331,"Ccl6",0,0,"Present",0.415,0.415,"HitbyZS","HitbyNA","HitbyCSA",0.5
"3899",20306,1.379,"Ccl7",0,1,"Present",0.455,0.455,"0","0","0",0
"3900",20307,-1.062,"Ccl8",0,0,"Present",0.004,0.004,"0","0","0",0
"3901",20308,0.344,"Ccl9",0,1,"Present",0.002,0.002,"0","0","0",0
"3902",20309,-0.99,"Cxcl15",0,0,"Present",0.033,0.033,"0","0","0",0
"3903",20310,-1.079,"Cxcl2",1,1,"Present",0.077,0.077,"0","HitbyNA","HitbyCSA",0.5
"3904",20311,1.236,"Cxcl5",0,0,"Present",0.174,0.174,"0","0","0",0
"3905",20312,-0.64,"Cx3cl1",0,1,"Present",0,0,"0","0","0",0
"3906",20315,-0.418,"Cxcl12",0,1,"Present",0,0,"0","0","0",0
"3907",20316,0.401,"Sdf2",0,1,"Absent",0.23,0.23,"0","0","0",0
"3908",20317,-0.251,"Serpinf1",0,1,"Absent",0.002,0.002,"0","0","0",0
"3909",20318,-0.247,"Sdf4",0,1,"Absent",0.047,0.047,"0","0","0",0
"3910",20319,0.556,"Sfrp2",0,0,"Present",0.037,0.037,"0","0","0",0
"3911",20320,0.941,"Nptn",0,1,"Absent",0.07,0.07,"0","0","0",0
"3912",20321,0.997,"Frrs1",0,1,"Absent",0.079,0.079,"0","0","0",0
"3913",20322,-0.241,"Sord",0,1,"Present",0,0,"0","0","0",0
"3914",20324,-0.312,"Sdpr",0,0,"Absent",0,0,"0","0","0",0
"3915",20333,-1.06,"Sec22b",0,1,"Present",0,0,"0","0","0",0
"3916",20334,1.679,"Sec23a",0,1,"Present",0.085,0.085,"0","0","0",0
"3917",20335,-0.889,"Sec61g",0,1,"Present",0.008,0.008,"0","0","0",0
"3918",20336,-0.228,"Exoc4",0,1,"Present",0.06,0.06,"0","0","0",0
"3919",20338,0.244,"Sel1l",0,1,"Present",0.007,0.007,"0","0","0",0
"3920",20339,0.101,"Sele",0,0,"Present",0.007,0.007,"0","0","0",0
"3921",20340,-0.395,"Glg1",0,1,"Present",0.125,0.125,"0","0","0",0
"3922",20341,-0.684,"Selenbp1",0,1,"Absent",0,0,"0","0","0",0
"3923",20342,0.21,"Selenbp2",0,1,"Absent",0.042,0.042,"0","0","0",0
"3924",20343,-0.466,"Sell",0,0,"Present",0.002,0.002,"0","0","0",0
"3925",20344,-1.208,"Selp",6,1,"Present",0,0,"0","HitbyNA","0",0
"3926",20345,0.254,"Selplg",0,1,"Present",0.221,0.221,"0","0","0",0
"3927",20346,-0.45,"Sema3a",0,0,"Present",0,0,"0","0","0",0
"3928",20347,-0.728,"Sema3b",0,1,"Present",0.012,0.012,"0","0","0",0
"3929",20348,1.127,"Sema3c",0,0,"Present",0.155,0.155,"0","0","0",0
"3930",20349,-0.3275,"Sema3e ,Sema3e",0,0,"Present",0.008,0.008,"0","0","0",0
"3931",20350,0.816,"Sema3f",0,0,"Present",0.123,0.123,"0","0","0",0
"3932",20351,-0.154,"Sema4a",0,1,"Present",0,0,"0","0","0",0
"3933",20352,0.742,"Sema4b",0,1,"Present",0.063,0.063,"0","0","0",0
"3934",20354,0.335,"Sema4d",0,1,"Present",0.055,0.055,"0","0","0",0
"3935",20355,-0.66,"Sema4f",0,0,"Present",0.005,0.005,"0","0","0",0
"3936",20356,0.284,"Sema5a",0,1,"Present",0.003,0.003,"0","0","0",0
"3937",20357,1.371,"Sema5b",0,0,"Present",0.102,0.102,"0","0","0",0
"3938",20358,0.468,"Sema6a",0,1,"Present",0.015,0.015,"0","0","0",0
"3939",20359,1.457,"Sema6b",0,1,"Present",0.255,0.255,"0","0","0",0
"3940",20360,0.342,"Sema6c",0,0,"Present",0.049,0.049,"0","0","0",0
"3941",20361,-0.2,"Sema7a",0,0,"Present",0.001,0.001,"0","0","0",0
"3942",20362,1.149,"Sept8",0,1,"Absent",0.055,0.055,"0","0","0",0
"3943",20363,-0.116,"Sepp1",0,0,"Absent",0.634,0.634,"0","0","0",0
"3944",20364,1.208,"Sepw1",0,1,"Absent",0.134,0.134,"0","0","0",0
"3945",20365,1.483,"Serf1",0,1,"Absent",0.442,0.442,"0","0","0",0
"3946",20370,-0.068,"Sez6",0,0,"Absent",0.002,0.002,"0","0","0",0
"3947",20371,0.332,"Foxp3",0,1,"Absent",0.006,0.006,"0","0","0",0
"3948",20375,-2.113,"Spi1",5,1,"Present",0.056,0.056,"HitbyZS","HitbyNA","HitbyCSA",1
"3949",20377,1.254,"Sfrp1",0,1,"Present",0.068,0.068,"0","0","0",0
"3950",20378,1.56,"Frzb",0,1,"Absent",0.072,0.072,"0","0","0",0
"3951",20379,-0.848,"Sfrp4",0,0,"Present",0.011,0.011,"0","0","0",0
"3952",20382,-0.867,"Srsf2",0,1,"Present",0.01,0.01,"0","0","0",0
"3953",20383,-1.858,"Srsf3",0,1,"Present",0.081,0.081,"HitbyZS","HitbyNA","HitbyCSA",1
"3954",20384,1.723,"Srsf5",0,1,"Present",0.171,0.171,"0","0","0",0
"3955",20387,-0.6,"Sftpa1",0,0,"Present",0.011,0.011,"0","0","0",0
"3956",20388,-0.664,"Sftpb",0,1,"Absent",0.255,0.255,"0","0","0",0
"3957",20389,0.01,"Sftpc",0,0,"Absent",0.056,0.056,"0","0","0",0
"3958",20390,-0.044,"Sftpd",0,0,"Present",0.005,0.005,"0","0","0",0
"3959",20391,-0.526,"Sgca",0,1,"Present",0.097,0.097,"0","0","0",0
"3960",20392,1.191,"Sgce",0,0,"Absent",0.251,0.251,"0","0","0",0
"3961",20393,1.18,"Sgk1",0,1,"Present",0.222,0.222,"0","0","0",0
"3962",20394,0.984,"Scg5",0,0,"Absent",0.889,0.889,"0","0","0",0
