Column1,EntrezID,Zscore,GeneSymbol,NetworkDegree,Exp_Stat_Value,KEGGdb,LowestCSAscore,LowestCSAscoreCorrected,ZSdes,NAdes,CSAdes,Replicate1
8423,401024,-3.026,FSIP2,0,1,Absent,0.055,0.055,HitbyZS,HitbyNA,HitbyCSA,1
11907,57125,-3.017,PLXDC1,0,1,Absent,0.063,0.063,HitbyZS,HitbyNA,HitbyCSA,1
12343,5829,-3.001,PXN,11,1,Present,0.204,0.204,HitbyZS,HitbyNA,HitbyCSA,1
7609,3592,-2.998,IL12A,0,1,Present,0.103,0.103,HitbyZS,HitbyNA,HitbyCSA,1
846,10972,-2.981,TMED10,6,1,Absent,0.066,0.066,HitbyZS,HitbyNA,HitbyCSA,1
10140,5267,-2.97,SERPINA4,1,0,Absent,0.048,0.048,HitbyZS,HitbyNA,0,0
14175,7314,-2.963,UBB,22,1,Present,0.058,0.058,HitbyZS,HitbyNA,HitbyCSA,1
15427,81669,-2.962,CCNL2,2,1,Absent,0.268,0.268,HitbyZS,HitbyNA,HitbyCSA,1
820,10943,-2.959,MSL3,0,1,Absent,NA,0.055,HitbyZS,HitbyNA,HitbyCSA,1
4927,23643,-2.958,LY96,2,1,Present,0.127,0.127,HitbyZS,HitbyNA,HitbyCSA,1
15013,79937,-2.945,CNTNAP3,0,1,Absent,0.058,0.058,HitbyZS,HitbyNA,HitbyCSA,1
343,10379,-2.939,IRF9,0,1,Present,0.148,0.148,HitbyZS,HitbyNA,HitbyCSA,1
16990,90523,-2.937,MLIP,0,1,Absent,0.314,0.314,HitbyZS,HitbyNA,HitbyCSA,1
10368,5435,-2.926,POLR2F,3,1,Present,0.563,0.563,HitbyZS,HitbyNA,HitbyCSA,1
17643,9480,-2.909,ONECUT2,0,1,Absent,0.326,0.326,HitbyZS,HitbyNA,HitbyCSA,1
15756,83896,-2.902,KRTAP3-1,0,0,Absent,0.002,0.002,HitbyZS,HitbyNA,0,0
14657,79175,-2.897,ZNF343,0,1,Absent,0.608,0.608,HitbyZS,HitbyNA,HitbyCSA,1
14784,79657,-2.897,RPAP3,5,1,Absent,0.13,0.13,HitbyZS,HitbyNA,HitbyCSA,1
6069,2780,-2.883,GNAT2,0,1,Present,0.221,0.221,HitbyZS,HitbyNA,HitbyCSA,1
10040,51738,-2.882,GHRL,0,1,Absent,0.349,0.349,HitbyZS,HitbyNA,HitbyCSA,1
9151,4794,-2.88,NFKBIE,3,1,Present,0.47,0.47,HitbyZS,HitbyNA,HitbyCSA,1
8195,390162,-2.874,OR5M9,0,1,Present,0.001,0.001,HitbyZS,HitbyNA,0,0
6956,3164,-2.869,NR4A1,9,0,Present,0.086,0.086,HitbyZS,HitbyNA,HitbyCSA,0.5
