"GeneSymbol","EntrezID","WS5219_1_S1_L001_R1_001_seq20_MATCHED1","WS5219_2_S2_L001_R1_001_seq20_MATCHED1","WS5219_3_S3_L001_R1_001_seq20_MATCHED1","Confidence","InputCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","Pathway"
"Gm5934","546272",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm5935","546282",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm5938","546335",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm5941","546347",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm5945","546368",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm595","209005",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm5954","105245406",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm5955","102636530",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm5965","546672",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm597","210962",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6034","547347",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6040","100503992",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm609","208166",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6096","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6109","619883",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6121","619991",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm614","245536",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6164","620574",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6176","620736",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6205","621203",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6217","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6268","621901",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6306","622282",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6309","622306",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6337","622640",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6351","622744",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6356","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6358","102637070",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6367","622894",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6370","622924",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6377","622976",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6401","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6408","623198",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6420","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6460","623898",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6465","623998",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm648","270599",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6482","102635554",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6502","624421",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6509","108169097",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6525","624713",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6526","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6551","625060",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6557","625123",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6569","102634429",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6570","625281",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6583","625424",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6588","625464",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6592","625480",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6614","625716",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6619","102638913",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6657","626215",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6658","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6676","105245673",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6710","626832",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6713","626858",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6729","627035",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6749","105242736",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6760","627470",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6763","627488",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6803","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6812","627927",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6833","628058",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6871","102642386",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6880","628456",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6882","628475",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6890","628518",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6899","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6902","628664",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6904","628693",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6934","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6943","629055",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm6958","629242",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7020","629959",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Gm7030","630294",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Gm7040","630663",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7073","631784",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7102","633057",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7137","634504",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7138","102640500",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7145","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7168","635895",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7233","638262",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7247","638695",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm725","277899",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Gm7260","639105",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7271","639545",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7276","108168393",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7298","640530",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7347","664804",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7356","664821",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7358","664831",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7361","664837",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7489","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7534","665186",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7544","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7579","105243090",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm765","330390",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7682","102633100",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7694","665574",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7697","665578",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7714","665615",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm773","331416",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7735","102637417",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7792","665802",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7827","665858",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7849","665927",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7861","665956",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7876","108168186",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7879","665989",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7896","105245578",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7903","666040",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7929","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7942","108169100",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7945","102634872",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7951","102638116",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7954","102635067",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7970","666186",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7971","666187",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7978","666203",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7980","666207",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7982","666209",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm7995","666233",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8005","666253",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8011","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8020","102636509",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8024","102636948",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8050","100504200",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8068","666376",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8074","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8082","102640955",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8094","666420",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8104","101056159",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8108","623078",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8113","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8122","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8126","108168152",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8127","666485",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm813","328695",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8138","105245737",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm815","329047",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8159","666549",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8165","666561",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8180","105242437",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8206","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8212","666647",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8220","666660",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8229","666675",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8232","666678",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8237","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8246","666706",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8247","102636873",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8251","102636082",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8257","666725",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm826","329554",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8265","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8267","666744",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8271","666750",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8279","666765",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8281","666772",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8297","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8298","666803",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8300","666806",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8356","108168187",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8359","666914",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8362","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8369","666926",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8374","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8439","667063",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8453","667094",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm853","332942",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Gm8653","667472",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8660","667485",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm867","333670",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8672","667503",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8674","667507",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8677","667512",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8693","667543",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8700","667552",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8720","667599",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8764","667692",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8765","667693",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8777","667712",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8797","667759",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm884","380730",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8857","667880",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8871","101055912",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8879","667916",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8882","667929",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8890","667948",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8897","667961",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8906","101055944",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8909","667977",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Gm8914","667988",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8922","668008",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8926","668017",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8947","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm8994","668137",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Gm9","194854",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9008","668155",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm904","380845",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm906","380882",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9112","668339",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9117","668346",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9125","668359",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9195","675947",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9229","102632102",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9257","668588",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9265","668605",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9376","668814",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm94","225443",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9493","102638448",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9495","670593",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9507","670880",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9508","670895",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9564","672498",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9573","672682",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm960","381196",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9602","673676",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9603","673685",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9611","108168189",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9631","674842",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9639","675294",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm973","381260",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9732","108168154",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9733","751864",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Gm9736","77763",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9745","100039655",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9747","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9758","381714",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9774","100043022",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9780","100039175",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9789","640627",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9817","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9821","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9831","101056032",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9833","100041480",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9837","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9839","408192",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Gm9844","100043712",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9857","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9881","791288",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9887","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9891","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9903","433873",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9905","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9910","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9913","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9918","432988",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9922","102633345",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9930","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9936","791292",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9938","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9944","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9945","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9949","225609",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9954","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9955","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9964","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9970","621407",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9972","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9978","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9996","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gm9999","629141",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gmcl1","23885",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gmds","218138",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Gmeb1","56809",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gmeb2","229004",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gmfb","63985",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gmfg","63986",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gmip","78816",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gml","625599",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gml2","15202",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gmnc","239789",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gmnn","57441",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Gmppa","69080",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Gmppb","331026",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Gmpr","66355",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Gmpr2","105446",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Gmps","229363",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Gna11","14672",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Gna12","14673",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Gna13","14674",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
