"GeneSymbol","EntrezID","WS5219_1_S1_L001_R1_001_seq20_MATCHED1","WS5219_2_S2_L001_R1_001_seq20_MATCHED1","WS5219_3_S3_L001_R1_001_seq20_MATCHED1","Confidence","InputCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","Pathway"
"Olfr1223","258894",3,0,285,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Olfr1038-ps","259015",3,0,5,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Olfr585","259091",0,1,209,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Adamtsl3","269959",0,2,10,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Galm","319625",3,10,61,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Rc3h2","319817",2,16,8,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Gfod1","328232",1,16,518,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Skint7","328505",2,0,2,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Pramel7","347712",1,0,5,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Prss33","353130",0,7,7,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Gm14151","433486",0,0,114,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Gm5936","546325",0,2,2,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Dnah7a","627872",1,0,25,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Amy2a2","100043688",4,8,403,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Gm11127","100529082",1,0,111,1,"HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Cell adhesion molecules (CAMs), Phagosome, Antigen processing and presentation, Type I diabetes mellitus, Endocytosis, Cellular senescence"
"0610009B22Rik","66050",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"0610010F05Rik","71675",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"0610010K14Rik","104457",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"0610012G03Rik","106264",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"0610030E20Rik","68364",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"0610040J01Rik","76261",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1110002E22Rik","102634333",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1110004F10Rik","56372",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1110008L16Rik","66132",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1110008P14Rik","73737",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1110012L19Rik","68618",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1110017D15Rik","73721",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
