,GeneSymbol,EntrezID,Zscore,OffTarget_pValue,AssignedScore
318,ADGRB3,577,-2.428,1,0.5
319,ADGRD1,283383,-1.115,1,0.5
320,ADGRD2,347088,0.205,1,0
321,ADGRE1,2015,0.252,1,0
322,ADGRE2,30817,0.079,1,0
323,ADGRE3,84658,-0.171,1,0
324,ADGRE4P,326342,-0.834,1,0
325,ADGRE5,976,-0.804,1,0
326,ADGRF1,266977,-0.093,1,0
327,ADGRF2,222611,0.272,1,0
328,ADGRF3,165082,0.799,1,0
329,ADGRF4,221393,-0.656,1,0
330,ADGRF5,221395,-0.116,1,0
331,ADGRG1,9289,0.354,1,0
332,ADGRG2,10149,-1.016,1,0.5
333,ADGRG3,222487,-0.671,1,0
334,ADGRG4,139378,-0.706,0.363,0
335,ADGRG5,221188,-0.368,0.511,0
336,ADGRG6,57211,-0.824,1,0
337,ADGRG7,84873,0,1,0
338,ADGRL1,22859,0.754,1,0
339,ADGRL2,23266,-0.482,1,0
340,ADGRL3,23284,-0.078,1,0
341,ADGRL4,64123,-1.141,1,0.5
342,ADGRV1,84059,0.426,1,0
343,ADH1A,124,1.089,1,0
344,ADH1B,125,-0.03,1,0
345,ADH1C,126,-0.438,1,0
346,ADH4,127,-1.173,1,0.5
347,ADH5,128,0.498,1,0
348,ADH6,130,1.191,1,0
349,ADH7,131,1.429,1,0
350,ADHFE1,137872,0.544,1,0
351,ADI1,55256,0.484,1,0
352,ADIG,149685,0.1,1,0
353,ADIPOQ,9370,1.332,1,0
354,ADIPOR1,51094,0.77,1,0
355,ADIPOR2,79602,-0.07,1,0
356,ADIRF,10974,-2.822,1,1
357,ADK,132,1.675,1,0
358,ADM,133,0.836,1,0
359,ADM2,79924,0.55,1,0
360,ADNP,23394,0.438,1,0
361,ADNP2,22850,-0.101,1,0
362,ADO,84890,-0.856,1,0
363,ADORA1,134,1.176,1,0
364,ADORA2A,135,-0.447,1,0
365,ADORA2B,136,0.738,1,0
366,ADORA3,140,-2.404,1,1
367,ADPGK,83440,1.548,1,0
368,ADPRH,141,-1.169,1,0.5
369,ADPRHL1,113622,-3.299,1,1
370,ADPRHL2,54936,-0.931,1,0
371,ADPRM,56985,-0.045,1,0
372,ADRA1A,148,0,1,0
373,ADRA1B,147,1.683,1,0
374,ADRA1D,146,1.031,1,0
375,ADRA2A,150,1.24,1,0
376,ADRA2B,151,-0.792,1,0
377,ADRA2C,152,0.57,1,0
378,ADRB1,153,1.51,1,0
379,ADRB2,154,-1.53,1,0.5
380,ADRB3,155,-0.064,1,0
381,ADRM1,11047,-0.238,1,0
382,ADSL,158,0.021,1,0
