"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"HSD17B1",3292,6,0.14109,0.36321,0.038208,0.11123,0.71645,0.9589,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSD17B10",3028,6,-0.515,-1.3974,0,0,0.16228,0.95824,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"HSD17B11",51170,6,0.43931,1.1075,0.75292,0.84228,0.26808,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSD17B12",51144,6,0.048592,0.092415,0.010001,0.043653,0.92637,0.98486,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSD17B13",345275,6,0.46534,1.0169,0.87547,0.92276,0.3092,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSD17B14",51171,6,0.15011,0.39293,0.043324,0.12151,0.69437,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSD17B2",3294,6,0.247,0.67524,0.14361,0.27742,0.49953,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSD17B3",3293,6,0.089034,0.21993,0.018297,0.066711,0.82593,0.96988,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSD17B4",3295,6,0.44856,0.7532,0.79661,0.87253,0.45133,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSD17B6",8630,6,0.18803,0.56791,0.070839,0.17017,0.5701,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSD17B7",51478,6,0.35377,0.85239,0.40148,0.55897,0.394,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSD17B8",7923,6,0.12071,0.33403,0.029451,0.093108,0.73836,0.96077,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSD3B1",3283,6,0.35728,0.77224,0.41347,0.57009,0.43997,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSD3B2",3284,6,0.57993,0.97472,0.5686,0.70397,0.3297,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSD3B7",80270,6,0.19198,0.60474,0.074388,0.1762,0.54535,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSDL1",83693,6,0.075069,0.18542,0.01461,0.056708,0.8529,0.97283,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSDL2",84263,6,0.31794,0.7113,0.29377,0.45344,0.4769,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSF1",3297,6,0.08308,0.21538,0.016316,0.061224,0.82947,0.96988,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSF2",3298,6,0.77825,1.0687,0.0766,0.17995,0.28521,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
