"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"DSG3",1830,6,0.56088,0.86423,0.65341,0.76953,0.38746,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DSG4",147409,6,0.12922,0.25219,0.03277,0.099832,0.8009,0.96427,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DSN1",79980,6,0.48998,0.91832,0.99945,0.99954,0.35845,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DSP",1832,6,-0.25521,-0.71469,0,0,0.4748,0.95824,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"DSPP",1834,6,0.54101,0.79643,0.74637,0.8382,0.42578,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DST",667,6,0.39217,0.83444,0.54754,0.68659,0.40403,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DSTN",11034,6,0.56583,0.95462,0.63119,0.75235,0.33977,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DSTYK",25778,6,0.12725,0.33746,0.032032,0.098261,0.73577,0.96035,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DTD1",92675,6,0.58335,0.82897,0.55441,0.69232,0.40712,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DTD2",112487,6,-0.24449,-0.85955,0.000046089,0.00085106,0.39004,0.95824,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"DTHD1",401124,6,0.4688,1.0696,0.89155,0.93332,0.2848,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DTL",51514,6,0.22414,0.65692,0.1119,0.2345,0.51123,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DTNA",1837,6,0.28355,0.96949,0.20943,0.35969,0.3323,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DTNB",1838,6,-0.093372,-0.25179,0.00092179,0.008,0.80121,0.96443,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DTNBP1",84062,6,0.73287,0.91432,0.12979,0.26002,0.36055,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DTWD1",56986,6,0.46562,0.89221,0.87662,0.9233,0.37228,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DTWD2",285605,6,0.64547,1.1189,0.32756,0.48721,0.26318,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DTX1",1840,6,0.32588,0.67891,0.31516,0.47506,0.4972,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DTX2",113878,6,0.59045,1.2199,0.52593,0.66923,0.2225,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DTX3",196403,6,-0.035902,-0.11687,0.0024888,0.016314,0.90696,0.98157,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DTX3L",151636,6,0.55131,1.2284,0.69664,0.80135,0.21929,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DTX4",23220,6,0.15198,0.34949,0.044568,0.12377,0.72672,0.95952,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DTYMK",1841,6,-0.6304,-1.7618,0,0,0.078109,0.95824,"HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Pyrimidine metabolism"
"DUOX1",53905,6,0.48758,0.98454,0.98774,0.9919,0.32485,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUOX2",50506,6,0.34519,0.82125,0.37014,0.52895,0.4115,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DUOXA1",90527,6,0.28677,0.7203,0.21625,0.36711,0.47134,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUOXA2",405753,6,-0.033944,-0.082333,0.002581,0.016627,0.93438,0.9865,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DUPD1",338599,6,0.19186,0.43059,0.074342,0.17613,0.66677,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUS1L",64118,6,0.093761,0.21477,0.019404,0.0693,0.82995,0.96988,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUS2",54920,5,0.68428,1.161,0.26594,0.42392,0.24566,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUS3L",56931,6,0.17518,0.32101,0.060423,0.15221,0.7482,0.96194,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUS4L",11062,6,0.38835,0.84442,0.53026,0.67312,0.39843,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUSP1",1843,6,0.25267,0.58214,0.15237,0.28889,0.56047,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DUSP10",11221,6,0.52139,0.74202,0.83901,0.90025,0.45808,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DUSP11",8446,6,-0.055843,-0.1128,0.0018897,0.013603,0.91019,0.98165,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUSP12",11266,6,-0.11728,-0.35194,0.00064525,0.0065635,0.72488,0.95946,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUSP13",51207,6,0.35779,1.1956,0.41559,0.57193,0.23186,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUSP14",11072,6,-0.088674,-0.23175,0.00092179,0.008,0.81673,0.96741,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUSP15",128853,6,-0.13783,-0.49463,0.00046089,0.0052083,0.62086,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUSP16",80824,6,-0.073678,-0.12139,0.0013366,0.01058,0.90338,0.98096,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DUSP18",150290,6,0.098816,0.24235,0.021017,0.073335,0.80851,0.96663,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUSP19",142679,6,0.45202,1.0068,0.81237,0.88307,0.31402,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUSP2",1844,6,0.24243,0.6119,0.13684,0.26861,0.5406,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DUSP21",63904,6,-0.048549,-0.13682,0.0020279,0.014194,0.89118,0.98038,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUSP22",56940,6,0.4193,0.7627,0.66083,0.77507,0.44564,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUSP23",54935,6,0.073991,0.17834,0.014518,0.056706,0.85845,0.9737,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUSP26",78986,6,0.29867,0.68968,0.2439,0.39928,0.4904,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUSP27",92235,6,0.16266,0.2909,0.05079,0.13459,0.77112,0.96228,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DUSP28",285193,6,-0.25167,-0.92411,0,0,0.35543,0.95824,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"DUSP3",1845,6,0.61955,0.71783,0.41499,0.57154,0.47286,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DUSP4",1846,6,-0.087328,-0.20012,0.00092179,0.008,0.84139,0.97124,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DUSP5",1847,6,0.44013,1.1537,0.75651,0.84517,0.24861,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DUSP6",1848,6,0.32349,0.8153,0.30898,0.46911,0.4149,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DUSP7",1849,6,0.11774,0.34479,0.028253,0.090373,0.73025,0.95952,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DUSP8",1850,6,0.21576,0.49949,0.10001,0.21652,0.61744,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DUSP9",1852,6,0.26624,0.57913,0.17588,0.31928,0.5625,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DUT",1854,6,-0.51053,-1.4444,0,0,0.14863,0.95824,"HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Pyrimidine metabolism"
"DUXA",503835,6,0.6766,1.2029,0.24105,0.39599,0.229,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DVL1",1855,6,0.25306,0.60309,0.1532,0.29,0.54645,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DVL2",1856,6,0.27415,0.62946,0.19122,0.33858,0.52905,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DVL3",1857,6,0.27862,0.71737,0.20086,0.35018,0.47314,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DXO",1797,4,0.028342,0.049349,0.02687,0.087015,0.96064,0.99183,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DYDC1",143241,6,0.23815,0.46029,0.13159,0.26229,0.64531,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DYDC2",84332,6,0.35457,0.75105,0.40347,0.56094,0.45262,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DYM",54808,6,0.19569,0.49284,0.077799,0.18149,0.62212,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DYNAP",284254,6,-0.19073,-0.42279,0.00013827,0.0019255,0.67245,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DYNC1H1",1778,6,0.11757,0.27622,0.028207,0.090265,0.78238,0.96318,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DYNC1I1",1780,6,0.57916,0.63828,0.57183,0.70651,0.52329,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DYNC1I2",1781,6,-0.031442,-0.086276,0.002581,0.016627,0.93125,0.98583,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DYNC1LI1",51143,6,0.097609,0.28967,0.02051,0.072076,0.77207,0.96228,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DYNC1LI2",1783,6,0.22824,0.54688,0.11771,0.24294,0.58446,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DYNC2H1",79659,6,0.17866,0.31205,0.062958,0.15649,0.755,0.96206,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DYNC2LI1",51626,6,0.15239,0.38722,0.044753,0.12392,0.6986,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DYNLL1",8655,6,0.63498,0.78997,0.36203,0.52182,0.42954,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DYNLL2",140735,6,0.22327,0.69629,0.11038,0.23203,0.48625,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DYNLRB1",83658,6,-0.045373,-0.098911,0.0021201,0.014744,0.92121,0.98283,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DYNLRB2",83657,6,0.61078,0.97722,0.44799,0.60069,0.32846,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DYNLT1",6993,6,0.28764,0.69189,0.21791,0.36897,0.489,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DYNLT3",6990,6,0.35311,0.9282,0.39932,0.55671,0.35331,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DYRK1A",1859,6,-0.39656,-1.1444,0,0,0.25246,0.95824,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"DYRK1B",9149,6,0.079322,0.15563,0.015624,0.059505,0.87632,0.97756,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DYRK2",8445,6,0.18405,0.50304,0.067475,0.16433,0.61493,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DYRK3",8444,6,0.077608,0.15199,0.015209,0.058397,0.87919,0.97841,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DYRK4",8798,6,0.36005,0.80774,0.42324,0.57889,0.41924,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DYSF",8291,6,0.62794,1.2635,0.38563,0.54423,0.20641,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DYTN",391475,6,0.00095409,0.0020971,0.0046089,0.025361,0.99833,0.9997,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DZANK1",55184,6,0.77294,0.97441,0.081716,0.18798,0.32985,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DZIP1",22873,6,0.17082,0.44568,0.057612,0.14765,0.65583,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DZIP1L",199221,6,0.29484,0.73112,0.23418,0.38771,0.4647,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DZIP3",9666,6,0.29956,0.67135,0.24621,0.40199,0.50199,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"E2F1",1869,6,-0.12637,-0.37858,0.00055307,0.0058622,0.705,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"E2F2",1870,6,0.19275,0.55145,0.075126,0.17721,0.58133,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"E2F3",1871,6,-0.18556,-0.64983,0.00013827,0.0019255,0.5158,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"E2F4",1874,6,-0.12692,-0.27984,0.00055307,0.0058622,0.7796,0.96318,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"E2F5",1875,6,0.20237,0.43125,0.085265,0.19396,0.66628,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"E2F6",1876,6,-0.22306,-0.67159,0.000092179,0.0013717,0.50185,0.95824,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"E2F7",144455,6,0.44542,0.85347,0.7832,0.86426,0.3934,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"E2F8",79733,6,0.32911,0.71926,0.32263,0.48249,0.47198,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"E4F1",1877,6,-0.094124,-0.26887,0.00092179,0.008,0.78803,0.96369,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EAF1",85403,6,0.20831,0.64256,0.091395,0.2033,0.52051,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EAF2",55840,6,-0.055168,-0.15727,0.0018897,0.013603,0.87504,0.97715,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EAPP",55837,6,0.021349,0.079983,0.0063142,0.031589,0.93625,0.98714,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EARS2",124454,6,-0.27595,-1.0283,0,0,0.30381,0.95824,"HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Aminoacyl-tRNA biosynthesis, Porphyrin and chlorophyll metabolism"
"EBAG9",9166,6,0.046377,0.12741,0.0096788,0.042857,0.89862,0.98055,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EBF1",1879,6,0.017103,0.046081,0.0058073,0.029682,0.96325,0.99225,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EBF2",64641,6,0.38256,0.70377,0.50578,0.65224,0.48158,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EBF3",253738,6,0.36547,1.0059,0.44306,0.596,0.31445,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EBF4",57593,6,0.19508,0.78181,0.077614,0.18137,0.43433,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EBI3",10148,6,0.46896,0.87737,0.89247,0.93388,0.38029,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EBLN1",340900,6,0.25312,0.5358,0.15334,0.29024,0.59209,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EBLN2",55096,6,0.26002,0.71231,0.16449,0.30439,0.47627,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EBNA1BP2",10969,6,-0.11984,-0.44353,0.00059916,0.0061787,0.65738,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EBP",10682,6,0.34052,0.82146,0.35687,0.51665,0.41138,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"EBPL",84650,6,0.18204,0.54492,0.066276,0.16258,0.58581,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ECD",11319,6,-0.37661,-1.0871,0,0,0.27698,0.95824,"HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf",NA
"ECE1",1889,6,0.55243,1.4711,0.69152,0.79749,0.14128,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ECE2",9718,6,-0.12949,-0.36388,0.00055307,0.0058622,0.71595,0.95885,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ECEL1",9427,6,0.29024,0.64373,0.2233,0.37471,0.51975,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ECH1",1891,6,0.21895,0.31823,0.10448,0.22309,0.75031,0.96206,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ECHDC1",55862,6,-0.12177,-0.40024,0.00059916,0.0061787,0.68898,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ECHDC2",55268,6,-0.33945,-0.91794,0,0,0.35865,0.95824,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ECHDC3",79746,6,0.1512,0.36948,0.044015,0.12281,0.71177,0.95856,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ECHS1",1892,6,0.10211,0.29503,0.022307,0.07657,0.76797,0.96228,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ECI1",1632,6,0.36297,0.83012,0.43296,0.58705,0.40647,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ECI2",10455,6,0.16984,0.50794,0.056828,0.14614,0.6115,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ECM1",1893,6,0.43348,0.87501,0.72614,0.82405,0.38157,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ECM2",1842,6,-0.10475,-0.24505,0.00082961,0.0078057,0.80642,0.96593,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ECSCR",641700,6,0.51299,0.86671,0.88279,0.92724,0.3861,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ECSIT",51295,6,0.0046062,0.0155,0.0047472,0.025744,0.98763,0.99777,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ECT2",1894,6,0.13265,0.38739,0.034198,0.10266,0.69847,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ECT2L",345930,6,0.31212,0.53509,0.27847,0.43792,0.59259,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EDA",1896,6,0.4948,0.76244,0.97428,0.98362,0.4458,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"EDA2R",60401,6,0.55633,1.0689,0.6735,0.78379,0.28513,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"EDAR",10913,6,0.19207,0.63919,0.074573,0.1765,0.5227,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"EDARADD",128178,6,0.64593,1.1268,0.32594,0.48571,0.25983,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EDC3",80153,6,0.31019,0.7513,0.27299,0.43234,0.45247,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"EDC4",23644,6,-0.4033,-0.91623,0,0,0.35954,0.95824,"HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","RNA degradation"
"EDDM3A",10876,6,0.38718,0.62862,0.52473,0.66817,0.5296,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EDDM3B",64184,6,0.23731,0.54731,0.13066,0.261,0.58416,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EDEM1",9695,6,0.38775,0.68783,0.52703,0.67003,0.49156,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"EDEM2",55741,6,0.22113,0.59022,0.10725,0.22702,0.55504,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"EDEM3",80267,6,0.29042,0.71301,0.2239,0.37554,0.47584,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"EDF1",8721,6,0.17405,0.32055,0.059778,0.1512,0.74855,0.96206,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EDIL3",10085,6,0.12194,0.31215,0.029958,0.094271,0.75493,0.96206,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EDN1",1906,6,0.27305,0.63014,0.18929,0.3365,0.52861,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"EDN2",1907,6,0.028498,0.098641,0.0072821,0.035174,0.92142,0.98285,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EDN3",1908,6,0.40605,1.3334,0.60607,0.73329,0.18241,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EDNRA",1909,6,0.12282,0.30677,0.030419,0.095266,0.75902,0.96206,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"EDNRB",1910,6,0.54752,1.2659,0.71503,0.81584,0.20555,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"EEA1",8411,6,0.25765,0.49463,0.16039,0.29932,0.62086,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"EED",8726,6,0.068,0.19008,0.013089,0.052622,0.84924,0.97272,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EEF1A1",1915,6,0.077702,0.19589,0.015256,0.058491,0.8447,0.97248,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"EEF1A2",1917,6,-0.084973,-0.19615,0.00096788,0.0081871,0.8445,0.97248,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"EEF1B2",1933,6,-0.70901,-1.9638,0,0,0.049548,0.95824,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"EEF1D",1936,6,0.1598,0.53716,0.049223,0.13215,0.59116,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EEF1E1",9521,6,0.1957,0.56977,0.077799,0.18149,0.56883,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EEF1G",1937,6,0.074134,0.18403,0.014564,0.056708,0.85399,0.97306,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EEF2",1938,6,-0.20544,-0.61761,0.000092179,0.0013717,0.53683,0.95824,"MedConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf",NA
"EEF2K",29904,6,0.19855,0.64071,0.080795,0.18645,0.52171,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"EEFSEC",60678,6,0.16826,0.47218,0.05563,0.14408,0.6368,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EEPD1",80820,6,0.17922,0.5872,0.063465,0.15743,0.55707,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EFCAB1",79645,6,0.5194,1.0475,0.8486,0.90592,0.29487,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EFCAB11",90141,6,0.34309,0.91964,0.36494,0.52441,0.35776,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EFCAB12",90288,6,0.32222,0.91048,0.3052,0.46526,0.36257,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EFCAB13",124989,6,0.4583,0.80923,0.84141,0.90182,0.41838,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EFCAB14",9813,6,0.45545,0.81132,0.82786,0.89311,0.41718,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EFCAB2",84288,6,-0.044428,-0.085373,0.0021662,0.014892,0.93196,0.98583,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EFCAB3",146779,6,0.13806,0.31979,0.036779,0.10822,0.74913,0.96206,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"EFCAB5",374786,4,0.58717,0.61261,0.61935,0.7426,0.54013,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
