"","EntrezID","Zscore","GeneSymbol","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","Replicate1"
"8445","4014",-2.073,"LOR",0,0,"Absent",0.009,0.009,"HitbyZS","HitbyNA","0",0
"8446","401409",-0.794,"RAB19",0,1,"Absent",0.074,0.074,"0","0","0",0
"8447","401474",1.233,"SAMD12",0,1,"Absent",0.88,0.88,"0","0","0",0
"8448","401494",-0.466,"PTPLAD2",0,1,"Absent",0.371,0.371,"0","0","0",0
"8449","401498",0.567,"TMEM215",0,0,"Absent",0.246,0.246,"0","0","0",0
"8450","4015",-0.021,"LOX",0,0,"Absent",0.512,0.512,"0","0","0",0
"8451","401509",-0.89,"ZNF658B",0,0.5,"Absent",0.863,0.863,"0","0","0",0
"8452","401535",0.764,"C9orf170",0,1,"Absent",0.974,0.974,"0","0","0",0
"8453","401541",-1.082,"CENPP",2,1,"Absent",0.453,0.453,"0","HitbyNA","HitbyCSA",0.5
"8454","401546",0.937,"C9orf152",0,1,"Absent",0.952,0.952,"0","0","0",0
"8455","401551",0.846,"WDR38",0,1,"Absent",0.59,0.59,"0","0","0",0
"8456","401562",-1.383,"LCNL1",0,1,"Absent",0.05,0.05,"0","0","0",0
"8457","401563",-0.426,"C9orf139",0,1,"Absent",0.021,0.021,"0","0","0",0
"8458","401565",-0.025,"FAM166A",0,1,"Absent",0.393,0.393,"0","0","0",0
"8459","4016",-0.992,"LOXL1",0,0,"Absent",0.33,0.33,"0","0","0",0
"8460","401612",-1.23,"SLC25A53",0,0,"Absent",0.002,0.002,"0","0","0",0
"8461","401647",0.148,"GOLGA7B",0,1,"Absent",0.371,0.371,"0","0","0",0
"8462","401665",-0.309,"OR51T1",0,1,"Present",0.021,0.021,"0","0","0",0
"8463","401666",-0.246,"OR51A4",0,1,"Present",0.507,0.507,"0","0","0",0
"8464","401667",-1.235,"OR51A2",0,1,"Present",0.562,0.562,"0","0","0",0.5
"8465","4017",-2.53,"LOXL2",0,1,"Absent",0.118,0.118,"HitbyZS","HitbyNA","HitbyCSA",1
"8466","401720",-0.224,"FIGNL2",0,1,"Absent",0.533,0.533,"0","0","0",0
"8467","4018",0.081,"LPA",0,1,"Absent",0.002,0.002,"0","0","0",0
"8468","401827",0.211,"MSLNL",0,0.5,"Absent",0.871,0.871,"0","0","0",0
"8469","401898",-0.38,"ZNF833P",0,0,"Absent",0.092,0.092,"0","0","0",0
"8470","401940",1.504,"NA",0,1,"Present",NA,0.055,"0","0","0",0
"8471","401944",-2.394,"LDLRAD2",0,1,"Absent",0.068,0.068,"HitbyZS","HitbyNA","HitbyCSA",1
"8472","401992",-0.949,"OR2T2",0,0.5,"Present",0.276,0.276,"0","0","0",0
"8473","401993",-1.471,"OR2T5",0,1,"Present",0.393,0.393,"0","0","0",0.5
"8474","401994",1.968,"OR14I1",0,1,"Present",0.965,0.965,"0","0","0",0
"8475","402",0.732,"ARL2",0,1,"Absent",0.569,0.569,"0","0","0",0
"8476","402055",0.388,"SRRD",0,1,"Absent",0.452,0.452,"0","0","0",0
"8477","402057",0.371,"RPS17P16",0,0.5,"Absent",0.061,0.061,"0","0","0",0
"8478","402117",-0.28,"VWC2L",0,1,"Absent",0.413,0.413,"0","0","0",0
"8479","402135",-0.574,"OR5K2",0,0,"Present",0.273,0.273,"0","0","0",0
"8480","402164",-2.098,"NA",0,0.5,"Present",NA,0.055,"HitbyZS","HitbyNA","HitbyCSA",1
"8481","402176",-1.037,"RPL21P44",0,1,"Absent",0.479,0.479,"0","0","0",0.5
"8482","4023",-0.437,"LPL",0,1,"Present",0.45,0.45,"0","0","0",0
"8483","402317",-0.354,"OR2A42",0,1,"Present",0.23,0.23,"0","0","0",0
"8484","402381",1.952,"SOHLH1",0,0,"Absent",0.845,0.845,"0","0","0",0
"8485","402415",0.686,"XKRX",0,1,"Absent",0.522,0.522,"0","0","0",0
"8486","4025",0.581,"LPO",0,0,"Present",0.734,0.734,"0","0","0",0
"8487","402573",0.659,"C7orf61",0,0,"Absent",0.418,0.418,"0","0","0",0
"8488","4026",-0.333,"LPP",0,1,"Absent",0.519,0.519,"0","0","0",0
"8489","402682",-0.007,"UFSP1",0,0,"Absent",0.241,0.241,"0","0","0",0
"8490","402715",1.084,"LOC402715",0,0.5,"Absent",0.655,0.655,"0","0","0",0
"8491","403",-0.044,"ARL3",0,1,"Absent",0.745,0.745,"0","0","0",0
"8492","403239",1.568,"OR2T27",0,0,"Present",0.238,0.238,"0","0","0",0
"8493","403244",-1.871,"OR2T35",0,1,"Absent",0.109,0.109,"HitbyZS","HitbyNA","HitbyCSA",1
"8494","403253",0.945,"OR4A47",0,1,"Present",0.967,0.967,"0","0","0",0
"8495","403257",0.685,"OR4C45",0,1,"Present",0.682,0.682,"0","0","0",0
"8496","403273",-0.462,"OR5H14",0,1,"Absent",0.193,0.193,"0","0","0",0
"8497","403274",-0.658,"OR5H15",0,1,"Absent",0.056,0.056,"0","0","0",0
"8498","403277",-1.521,"OR5K3",0,1,"Absent",0.816,0.816,"0","0","0",0.5
"8499","403278",0.32,"OR5K4",0,1,"Absent",0.526,0.526,"0","0","0",0
"8500","403282",0.987,"OR6C65",0,1,"Present",0.609,0.609,"0","0","0",0
"8501","403284",-0.802,"OR6C68",0,1,"Present",0.068,0.068,"0","0","0",0
"8502","4033",0.618,"LRMP",0,1,"Absent",0.608,0.608,"0","0","0",0
"8503","403313",0.147,"PPAPDC2",0,1,"Absent",0.873,0.873,"0","0","0",0
"8504","403314",-0.057,"APOBEC4",0,0,"Absent",0.701,0.701,"0","0","0",0
"8505","4034",0.248,"LRCH4",0,1,"Absent",0.844,0.844,"0","0","0",0
"8506","4035",-2.201,"LRP1",12,1,"Present",0.035,0.035,"HitbyZS","HitbyNA","0",0.5
"8507","4036",-0.428,"LRP2",0,1,"Present",0.394,0.394,"0","0","0",0
"8508","4037",1.176,"LRP3",0,1,"Absent",0.169,0.169,"0","0","0",0
"8509","4038",0.513,"LRP4",0,1,"Absent",0.657,0.657,"0","0","0",0
"8510","4040",1.369,"LRP6",0,1,"Present",0.936,0.936,"0","0","0",0
"8511","404037",-1.819,"HAPLN4",0,1,"Absent",0.045,0.045,"HitbyZS","HitbyNA","0",0.5
"8512","404093",-0.442,"CUEDC1",0,1,"Absent",0.701,0.701,"0","0","0",0
